"code","iso","country","GHA.ind.1995","GHA.ind.1996","GHA.ind.1997","GHA.ind.1998","GHA.ind.1999","GHA.ind.2000","GHA.ind.2001","GHA.ind.2002","GHA.ind.2003","GHA.ind.2004","GHA.ind.2005","GHA.ind.2006","GHA.ind.2007","GHA.ind.2008","GHA.ind.2009","GHA.ind.2010","GHA.ind.2011","GHA.ind.2012","GHA.ind.2013","GHA.ind.2014","GHA.ind.2015","GHA.ind.2016","GHA.ind.2017","GHA.ind.2018","GHA.ind.2019","GHA.ind.2020","GHA.ind.2021","GHA.ind.2022","GHA.ind.2023","GHA.ind.2024"
689,"XKX","Kosovo",47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,50,48.8,46.7,46,47.3,47.3,47.3
414,"KWT","Kuwait",30.7,30.7,30.7,30.7,30.7,30.7,30.7,44.2,42.9,37.9,31.9,28.9,25.3,24.9,26.1,28.1,31.1,32.3,37,43.6,43.1,39.7,39.5,38.2,36.7,38.1,39.1,35.4,35.4,35.4
417,"KGZ","Kyrgyzstan",64.1,64.1,64.1,64.1,64.1,71,78.2,67.6,56,48.3,47.8,45.7,41.3,33.9,32.2,32.5,33.7,29.2,25.4,21.2,20.4,24.1,27.4,26.3,32,40.9,46.2,47.1,47.1,47.1
418,"LAO","Laos",40,40,40,40,40,40.1,40.4,39.8,39.7,38.2,37.1,35.6,33,32.3,31.7,29.4,28.6,26.9,25.4,24.3,18.3,6.1,0,0,0,0,0,0,0,0
428,"LVA","Latvia",59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,56.1,50.4,44.8,41.7,42.3,43.2,45.1,47.6,49.9,51.7,53.2,53.7,52.7,50.9,51.3,50.6,50.5,52,52,52
422,"LBN","Lebanon",8.2,8.2,8.2,8.2,8.2,13.3,19.3,23.8,25.9,30.7,35.6,43.7,49.5,47.7,42.1,40.5,38,34.5,28.8,24,20.1,21.2,26.2,29.9,30.9,37.4,43,43,43,43
426,"LSO","Lesotho",43.1,43.1,43.1,43.1,43.1,42.4,42.2,42.5,42.4,43.1,43.2,44.3,44.7,47.5,45.9,44.6,39.2,36.4,39.5,42.4,45.9,50,50.7,53.9,57,62.7,58.8,49.9,49.9,49.9
430,"LBR","Liberia",27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2,25.9,25.2,24.5,25.8,27.4,30.5,33.3,34.3,40.4,39.4,39.8,39,37.2,37.2,37.2
434,"LBY","Libya",43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,46.9,45.4,52.6,55.6,57.3,55.3,52.3,51.7,52.2,51.4,48.9,47.6,44.3,35.1,35.1,35.1
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,55.1,51.3,45.8,40.3,41.5,44.1,45.5,46.8,50,52,52.9,53.8,51.2,49.8,51.1,51.7,50.9,51.8,51.8,51.8
442,"LUX","Luxembourg",75.9,75.9,75.9,75.9,75.9,75.3,70.2,61.9,50.8,37.5,30.7,25.7,25.8,31.2,38.1,43.2,48.3,52.3,56.6,58.3,59.7,60.7,61.4,60.6,59.9,61.8,61.2,62.5,62.5,62.5
446,"MAC","Macao",25.8,25.8,25.8,25.8,25.8,26.1,26.4,32.4,37.2,38,40,43.1,49.6,58.8,54,59.2,60.6,66.8,74.4,69.9,54,41.1,31.8,41.8,36.7,46.6,53.1,61.5,61.5,61.5
450,"MDG","Madagascar",44.9,44.9,44.9,44.9,44.9,45.1,46.9,50.3,50.4,52.1,49.6,48.2,45.6,43.2,40.7,38.6,38.4,40.6,41.8,44.1,43.4,43.3,42.2,43.7,43.5,43.6,44.3,44.7,44.7,44.7
454,"MWI","Malawi",44.8,44.8,44.8,44.8,44.8,43.6,43.1,41,37.9,37.8,37.4,36.4,35,32.3,30.9,28.3,28.2,27.5,26.5,26.4,27,28.4,29,26.2,23.9,19.6,17,15.5,15.5,15.5
458,"MYS","Malaysia",14.9,14.9,14.9,14.9,14.9,20.7,24.6,28.9,28.2,27.6,24.5,23.1,20.6,20.7,25.8,28.7,32.1,36.3,35.5,33.5,33.7,35.2,37.1,36.2,36.8,38.3,39.8,40.6,40.6,40.6
462,"MDV","Maldives",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.4,5.3,5.5,11.4,11.9,12.5,15.4,11.6,16.8,12.9,17.3,16.4,16.4,14.2,11.6,16.2,21.3,25.8,25.8,25.8
466,"MLI","Mali",35.4,35.4,35.4,35.4,35.4,32.4,31.6,31.7,32.2,31.4,31.2,31.5,32.3,31.9,31.6,30.6,31.5,32.7,34.1,33.6,32.9,30.9,29.4,27.7,27.1,25.9,25.6,26,26,26
470,"MLT","Malta",45.8,45.8,45.8,45.8,45.8,47.4,48.5,50.1,43.6,40.7,42.3,43,43.1,44.4,47.1,50.4,51.1,51,51.8,52.8,62.3,73.2,77.5,79.4,79.1,76.5,71.6,62.7,62.7,62.7
584,"MHL","Marshall Islands",37.3,37.3,37.3,37.3,37.3,37.3,37.3,36,34.9,32.7,31.9,30.9,31,31,33.6,33.6,34,34.7,37.1,37.4,39.8,41.6,42.7,43.8,44.5,44.8,43.9,44.6,44.6,44.6
478,"MRT","Mauritania",35.1,35.1,35.1,35.1,35.1,31.7,28.8,28,27.9,30.2,33.6,34.8,36.8,40.5,41.5,40.8,40.2,39.3,39.1,38.5,37,35.7,33.8,34.6,34.6,34.1,33.9,33.8,33.8,33.8
480,"MUS","Mauritius",29.7,29.7,29.7,29.7,29.7,26.7,24.4,22.4,21.2,24.4,26.2,24.3,24.8,25.7,27,26.7,26.7,28.6,30.9,34.2,38.6,38.4,37.4,37.4,38.2,41.9,43.9,45.1,45.1,45.1
484,"MEX","Mexico",37,37,37,37,37,36.8,36.3,36.7,36.5,36.3,36.9,37.6,37.7,37.6,38.9,40.8,41.7,42.8,43.5,45.3,46.5,47.1,48.2,48.9,50,52.1,51.7,48.9,48.9,48.9
583,"FSM","Micronesia",18.2,18.2,18.2,18.2,18.2,18.2,18.2,32.5,45.7,60.9,67.5,72.4,71.1,70.5,62.2,59.2,57.8,55,47.9,42.5,40.6,40.4,38,40.4,36.5,40.9,42.3,43.9,43.9,43.9
498,"MDA","Moldova",91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,77.4,59.7,51.5,43.2,43.1,46.1,48.2,50.4,50.6,50.5,49.9,48.3,45.5,42.1,43.3,44.1,42.9,44.2,44.2,44.2
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",51.2,51.2,51.2,51.2,51.2,50.7,49.3,50.2,52.7,56.5,55.8,52.4,44.5,37.1,27.8,18.4,6.4,0,0,0,0,5.9,7,8.9,12.3,23.8,31.5,33.7,33.7,33.7
499,"MNE","Montenegro",45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,41.4,33.5,43.5,43.3,43.1,44.5,46.4,47,49.9,51.9,51.8,45.2,48.1,45,43.3,43.6,43.6,43.6
504,"MAR","Morocco",36.5,36.5,36.5,36.5,36.5,36.2,34.8,34.3,35,32.9,31.3,29.9,29.2,29.1,30.3,31.3,31.8,33,36.1,37.5,38.4,39.8,40.1,40,39.4,39.6,38,38,38,38
508,"MOZ","Mozambique",46,46,46,46,46,47.4,46.7,43.6,40.1,37.7,33.9,32.7,33.9,32.4,35.7,39.4,39.6,36.6,32.8,27.5,24.2,23.7,24,22.4,28.2,35.7,40.1,42.6,42.6,42.6
104,"MMR","Myanmar",36.6,36.6,36.6,36.6,36.6,35.5,36.7,37.4,37.3,35.7,33.9,32.1,32.1,34,34.9,34.7,36.2,39.6,42.4,42.6,41.3,39.3,35.9,37.6,39.8,41,42.9,46.3,46.3,46.3
516,"NAM","Namibia",45,45,45,45,45,45,43.4,45.7,46.4,45.2,42,37.4,37.1,39.4,35.6,32.7,22.3,16.2,28.4,38.9,46.6,48.9,52.9,62.8,67.3,66.2,54.2,36.5,36.5,36.5
520,"NRU","Nauru",64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,51.8,38.5,36.3,33.1,31.3,33.4,36.3,41.7,46.3,46.3,46.3
524,"NPL","Nepal",37.1,37.1,37.1,37.1,37.1,37.1,37.6,40,42,43.9,44.2,44.8,45.1,44.7,42.6,40.4,38.1,37.1,35.9,34.6,34.8,34.2,33.5,31.7,31.3,31,31.3,33.1,33.1,33.1
528,"NLD","Netherlands",52.9,52.9,52.9,52.9,52.9,52.5,50.9,50.7,51.6,52,52.8,53.1,53.9,54.3,56.3,55.5,56.6,57.3,57.3,56.7,55.7,54.7,53,51.2,52.6,53.9,55.9,58.9,58.9,58.9
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",45.3,45.3,45.3,45.3,45.3,45.5,45.3,44.8,44.3,43.9,43.3,43.1,43.1,44.8,46.9,49.2,50.9,51.4,51.6,51.6,51.1,50.8,50.2,49.5,49.6,50.7,51.7,52.6,52.6,52.6
558,"NIC","Nicaragua",39.5,39.5,39.5,39.5,39.5,34.6,35.4,34.3,31.2,29.6,30.7,33.7,36,40.1,41.6,42.7,42.1,41.6,39.6,38.2,35.6,33.8,33.3,34.6,36.2,39,39.8,41,41,41
562,"NER","Niger",29.8,29.8,29.8,29.8,29.8,29.8,29.9,30.3,30.2,30.4,30.7,30.8,30.6,30,29.2,30.2,31.1,31,30.2,29.2,28.6,28.1,27.5,26.9,25.8,25.9,26.7,27.1,27.1,27.1
566,"NGA","Nigeria",19.7,19.7,19.7,19.7,19.7,24.2,30,39.6,47.4,50.9,52.4,51.4,52.8,55.4,60,57,51.4,50.5,47.1,43.5,40.7,40.2,41.6,43.9,46.8,48.2,47.6,48,48,48
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",51.7,51.7,51.7,51.7,51.7,46.7,48.8,51.5,54.1,55.3,55.8,52.8,50.9,46.6,46.5,46.8,46.1,48.6,52,55.4,58.3,61.1,59.9,59.4,57.7,57.1,52,47.6,47.6,47.6
578,"NOR","Norway",38.6,38.6,38.6,38.6,38.6,37.8,38.3,41.1,42.8,43.7,46.1,46.8,46.8,47.6,49.6,50.3,51.4,52.7,52.9,52.2,51.8,51.6,50.6,50.1,51.7,52.3,53.2,53.9,53.9,53.9
512,"OMN","Oman",25.1,25.1,25.1,25.1,25.1,24.7,22.2,21.3,18.5,18.8,18.1,16.8,15.8,19.6,24.5,26.6,28.4,27.9,23.1,24.1,26.2,27.5,28.5,31.2,38.9,43.5,44.8,44,44,44
586,"PAK","Pakistan",32.3,32.3,32.3,32.3,32.3,32,33.4,34.1,34.3,33.4,32.9,30.9,29.4,28.9,29,30.5,33.1,35.9,38.7,40.5,41.5,39.6,36.2,34.1,32.3,32.2,31.5,33.5,33.5,33.5
585,"PLW","Palau",49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,48.8,45.9,45.8,50.2,53.6,58.2,58.5,56.6,59,58.4,58.3,55.4,55.4,55.4,55.4
591,"PAN","Panama",29.5,29.5,29.5,29.5,29.5,32.5,31.1,30.4,31.4,33.5,35.6,35.2,37.6,36.6,35.3,34.5,28.8,28.2,27.5,30.2,31.6,33.5,36.2,40.6,39.6,43.4,43.1,43.5,43.5,43.5
598,"PNG","Papua New Guinea",26.6,26.6,26.6,26.6,26.6,25,25.4,24.4,24.7,24.3,23.7,24.5,24.7,15.6,25.4,35.1,43.9,51.3,57,53.6,46.7,38.5,30.2,21.5,19.3,24.1,28.9,37,37,37
600,"PRY","Paraguay",34.8,34.8,34.8,34.8,34.8,37.6,41,45.2,45.8,47.3,46.1,45.6,42.6,40.9,38.6,37.7,35.3,34.3,31.7,31.6,32.6,33.8,32.9,35.6,38.1,39.4,40.5,42,42,42
604,"PER","Peru",35.1,35.1,35.1,35.1,35.1,34.1,36.6,40,42.8,44.1,43.7,45,42.7,40.5,36.1,31.6,30,29,31.1,31.2,31.8,34.1,34.7,36.9,37.8,41.8,42.8,42,42,42
608,"PHL","Philippines",31.3,31.3,31.3,31.3,31.3,31.6,33.4,35.9,39.2,40.8,41.9,43.9,43.4,44,43.6,41.8,40.8,39.7,38.1,35.9,33.6,32.5,30.3,28.1,27.6,29.4,31.4,33.4,33.4,33.4
616,"POL","Poland",57.3,57.3,57.3,57.3,57.3,59.1,60.7,62.5,62.6,61.9,60.2,55.7,51.2,49.2,49.2,48.7,48.8,50.1,51.2,52.9,54.2,53.4,51.6,50.4,52.1,53.3,51.8,51.2,51.2,51.2
620,"PRT","Portugal",34.7,34.7,34.7,34.7,34.7,33.9,34.4,33,35.8,38.5,39.7,44.5,49.5,53.8,56,59.5,62.9,64.2,62,56.5,52,50.9,50.5,50.2,49.5,51.2,54.4,57,57,57
634,"QAT","Qatar",23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,18,11.6,6.8,6,7.3,13.4,18.7,23.8,30.6,37.3,41.7,42.7,42.3,42.3,42.3
178,"COG","Republic of Congo",9.7,9.7,9.7,9.7,9.7,7.1,9.9,25.9,38.8,47.1,48.4,45.3,45.2,43.6,39.4,31,25.7,34.2,41,47.1,47.9,46.1,47,45.3,41.5,37.4,36.6,36.5,36.5,36.5
642,"ROU","Romania",66,66,66,66,66,69.8,67.7,65.8,63.8,60.2,56.8,50.9,45.1,42.3,48.4,52.5,55.6,58.2,61.6,63.3,64.5,64.2,60.4,55.3,55.1,55.7,53.3,51.6,51.6,51.6
643,"RUS","Russia",51.4,51.4,51.4,51.4,51.4,55.2,55.4,55.6,53.8,51.5,49.3,46.2,45.1,44.3,45.7,46,45.5,45.3,46,46.9,47.8,48,47.5,46.1,47,47.9,46.9,46.5,46.5,46.5
646,"RWA","Rwanda",56.8,56.8,56.8,56.8,56.8,58.8,57.7,56.8,55.5,53.2,50.7,45.4,35.5,34.2,31.5,31.2,31.9,32.9,33.4,34.4,34.2,34.5,34.7,34.5,34,33.5,33.7,34.6,34.6,34.6
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",30,30,30,30,30,27.5,26.8,25.6,26.3,26.3,29.4,33.5,35.6,38.1,39.8,41.3,42.4,44.1,45.9,45.5,46.7,48.1,48,47.6,45.8,46.9,47.6,50,50,50
662,"LCA","Saint Lucia",22.7,22.7,22.7,22.7,22.7,23.2,24.9,27.3,29.3,30.7,34.2,36.6,39.4,40.9,41.9,39.8,38.6,38.5,38.6,38.3,40.1,41.8,42.7,43.8,46,46.4,47.5,47.9,47.9,47.9
670,"VCT","Saint Vincent and the Grenadines",18.6,18.6,18.6,18.6,18.6,22.3,23.9,28.6,30.8,29.6,29.3,31.1,33.2,34,30.1,36.9,40.8,43.9,48,46.9,48,49.2,51.2,51.5,48.3,48,49.2,48.9,48.9,48.9
882,"WSM","Samoa",38.8,38.8,38.8,38.8,38.8,38.3,36.2,35.1,34.7,35.8,36.4,37.1,39.2,41.8,44.5,45.2,43.5,41.9,40.5,38.8,35.4,33.9,34.2,38.7,42.7,46,47,49.2,49.2,49.2
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,29.2,30.6,31.6,29.7,27.8,24.5,24.5,26.5,28.5,30.5,33.6,38.1,38.1,38.1
682,"SAU","Saudi Arabia",57,57,57,57,57,60.8,57.3,49.4,38.9,24.7,17.4,10.7,13.9,18.8,24.5,23.8,26.7,27.1,30.5,28.6,25.9,22.7,25.5,27.7,30,34.7,40.5,42.8,42.8,42.8
686,"SEN","Senegal",40.8,40.8,40.8,40.8,40.8,39.6,39.8,40.9,42.3,41,40.3,39.4,40.6,42.2,41.4,36.8,33,32.9,33.8,33.1,31.6,31.1,31.7,33.4,33.9,34,33.3,34.9,34.9,34.9
688,"SRB","Serbia",38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,42.5,39.8,36.2,35.8,47.7,55.4,59.2,63.3,64.7,66.9,67.7,62.5,55.9,53,52.1,50.5,48.1,48,48,48
690,"SYC","Seychelles",16.5,16.5,16.5,16.5,16.5,16.6,14.5,16.1,20.3,22.7,28.1,32.2,33.4,34.7,35.1,35.8,38,39.7,43.7,43.5,41.5,38,34.3,30.7,27.6,25.6,25.8,27.4,27.4,27.4
694,"SLE","Sierra Leone",50.8,50.8,50.8,50.8,50.8,52.3,52.9,50.4,41.1,30.6,21.7,12.6,11,13.8,19.3,27,32.6,33.4,32.8,31,31.2,26.3,27.5,29.6,36.2,43.2,45.7,45.4,45.4,45.4
702,"SGP","Singapore",38.9,38.9,38.9,38.9,38.9,40.9,41.9,45.4,48.7,47.1,57.7,62.7,68.8,65,61.4,57.7,57.1,51.1,41.3,34.4,26.8,30.5,43,40.7,47.7,44.3,48.2,45.6,45.6,45.6
534,"SXM","Sint Maarten",34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33.5,47.5,50.4,50.8,50.8,50.8
703,"SVK","Slovakia",56.4,56.4,56.4,56.4,56.4,56.4,56.4,54.6,53.4,52.9,52.3,51.2,51,50.4,52.6,54.9,55.6,57.9,59.3,60.8,60.5,58.9,56.6,53.4,53.6,54.5,51.9,51.2,51.2,51.2
705,"SVN","Slovenia",47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47,46,44.3,42.8,46.3,50.1,51.8,53.6,55.9,58.3,59.4,59.2,61.8,58.2,57.6,57.9,56.9,56.4,56.4,56.4
90,"SLB","Solomon Islands",31.1,31.1,31.1,31.1,31.1,32.7,33.7,35,35.5,34.9,34.1,33.3,32.6,31.9,32,32.4,32.9,33.9,33.9,36,40.2,44.3,47.7,49.8,51.5,52.4,51.5,49.9,49.9,49.9
706,"SOM","Somalia",45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6
710,"ZAF","South Africa",37.6,37.6,37.6,37.6,37.6,38.1,39.1,43.6,44.6,43,42.7,41.4,38.4,35.5,34.9,36.2,38.9,43.9,46.9,46.9,50.5,52.1,53.4,52.9,51.2,51.8,52.5,54.1,54.1,54.1
410,"KOR","South Korea",22.2,22.2,22.2,22.2,22.2,26.7,30.7,33.8,36.5,38.6,39.6,38.8,35.9,38.8,40.5,38.9,36.9,35.2,34.4,34.8,36.1,38.4,40,41.8,45.6,49,50.2,51.8,51.8,51.8
728,"SSD","South Sudan",45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,47.2,44.2,44.2,44.2
724,"ESP","Spain",39.6,39.6,39.6,39.6,39.6,37.6,36,33.5,33.3,32.5,31.4,33.5,35.3,40.2,46.5,52.2,57.5,61.3,62.7,58.7,54.6,55.7,55.4,54.7,55.4,58,58.6,57,57,57
144,"LKA","Sri Lanka",37.3,37.3,37.3,37.3,37.3,35.8,36.6,35.7,36,35.4,35,35.6,36.5,38.8,40.2,39.8,38.9,37.4,38.4,37.1,33.8,30.5,30.4,32.6,34.8,37.3,39.8,44.9,44.9,44.9
