"code","iso","country","FCL.ind.1995","FCL.ind.1996","FCL.ind.1997","FCL.ind.1998","FCL.ind.1999","FCL.ind.2000","FCL.ind.2001","FCL.ind.2002","FCL.ind.2003","FCL.ind.2004","FCL.ind.2005","FCL.ind.2006","FCL.ind.2007","FCL.ind.2008","FCL.ind.2009","FCL.ind.2010","FCL.ind.2011","FCL.ind.2012","FCL.ind.2013","FCL.ind.2014","FCL.ind.2015","FCL.ind.2016","FCL.ind.2017","FCL.ind.2018","FCL.ind.2019","FCL.ind.2020","FCL.ind.2021","FCL.ind.2022","FCL.ind.2023","FCL.ind.2024"
170,"COL","Colombia",63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,63.4,64.5,61.9,59.5,60.5,60,59.6,61.1,62.4,63.2,64.9,62.7,58.1,52.9,52.6,48.8,49.4,52.1,52.1,52.1
174,"COM","Comoros",92,92,92,92,92,92,92,92,92,92,92,92.8,91.6,91.3,89.3,89.1,86.2,84.8,57,44.2,41.7,41.6,40.5,53.1,67.9,70.5,69.7,72.1,72.1,72.1
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,59.6,60.9,55.6,51,52.3,52.1,52.3,57.5,62.2,66.7,65.4,60.4,58,58,56.1,58.3,64,64,64
384,"CIV","Cote d'Ivoire",39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,41,44.5,41.7,38,36.4,34.9,34.6,32.2,22.1,19.9,16.7,9.2,5.6,8.1,5.8,6.7,11.4,11.4,11.4
191,"HRV","Croatia",81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,82,81.2,79.4,82.7,81.9,81.4,80,80.9,79.4,80.3,78.2,77.6,73.7,72.7,70.2,70.6,69.4,69.4,69.4
192,"CUB","Cuba",58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,60,62.1,58.6,61.5,62.9,61.8,59.8,64.6,68.9,69.5,45.9,35.8,35.2,35.7,34.8,45.2,66.6,66.6,66.6
531,"CUW","Curacao",94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,92,89,84.8,81.5,80.7,82.4,79.9,79.4,81.1,81.8,80.9,86.3,91.6,91.7,90.7,89,85.2,85.2,85.2
196,"CYP","Cyprus",86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,87.3,68,64.9,65.4,66.1,61.8,79.3,83.7,84.6,84.2,76,68,66.3,62.2,60.4,63.6,60,60,60
203,"CZE","Czech Republic",65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,62.9,57.8,53.6,53.6,56.8,52.6,54.9,57.8,57.7,60.2,59.9,55.8,47.1,34.7,21.7,17.9,17.1,17.1,17.1
180,"COD","Dem. Rep. Congo",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,67.3,66,63.8,60.9,61.1,59.7,55.7,50.9,50.2,44.8,40.6,38.5,39,37.3,37.9,39,39,39
208,"DNK","Denmark",53,53,53,53,53,53,53,53,53,53,53,51.7,47.6,42.3,38.4,42.4,45.1,44.8,49.9,51.6,54,52.1,52,50.5,45.8,45,44.5,45.9,45.9,45.9
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",90,90,90,90,90,90,90,90,90,90,90,88.5,89.3,85,85.9,84.1,83.1,80.5,83.5,85.6,93.8,90.8,0,0,0,0,0,64.3,64.3,64.3
214,"DOM","Dominican Republic",41,41,41,41,41,41,41,41,41,41,41,40.1,38.1,34.7,36.7,40.1,40.3,39.9,42.2,42.9,42.1,37.8,35.4,34.9,34.6,32.1,36.1,39.9,39.9,39.9
218,"ECU","Ecuador",71,71,71,71,71,71,71,71,71,71,71,72.1,68.5,64.6,62.6,63.2,62.5,61.2,61.6,64,64.4,64.4,64.7,65.7,65.2,63.3,64.6,66.5,66.5,66.5
818,"EGY","Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,"SLV","El Salvador",40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,45,47,50.3,50.4,54.8,56.5,57.1,59.3,62.5,63.4,58.8,55.4,54.5,54.9,55,61.6,67.6,67.6,67.6
226,"GNQ","Equatorial Guinea",84,84,84,84,84,84,84,84,84,84,84,86.9,86.7,83.1,77.3,72.9,67.3,66.1,64.3,56.1,55.7,54.4,50.8,50.7,55.5,56.9,57.3,59.8,59.8,59.8
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,50.8,52.7,48.6,48.4,46.5,45,44.5,44.9,43.7,42.7,40.4,35.7,31.3,27.4,25.6,26,25.9,25.9,25.9
748,"SWZ","Eswatini",34,34,34,34,34,34,34,34,34,34,34,30.2,28.3,29.3,25.1,22.7,27.9,31.8,32.1,38.4,43.6,41.1,35.2,38.6,38.5,41.2,41.3,49.1,49.1,49.1
231,"ETH","Ethiopia",78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.5,75.7,73.5,70.4,69.6,69,66.3,65.2,64.6,66.3,65.6,66.6,68.6,70,68.5,68.4,71.3,71.3,71.3
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,81.5,78.9,77.7,77.8,75.9,79.2,80.2,80.3,77,78.2,67.2,65.9,66.2,69.6,69.6,71.2,72.8,72.8,72.8
246,"FIN","Finland",47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,46.6,46.3,42.7,41.8,43.7,44.5,44.2,45.9,45.6,45.4,42.8,37.8,34.7,32.2,30.4,29.9,31.6,31.6,31.6
250,"FRA","France",76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,75,74,69.9,70.6,65.3,64.8,63.2,66.3,67.4,73.9,73.9,74.2,71.8,69.7,67.4,64.9,65.3,65.3,65.3
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.3,85.9,85.9,84.3,85.7,85.9,85.9,82.1,78.2,77,75.5,73.2,75.1,77.2,77.5,79.2,80.2,80.2,80.2
270,"GMB","Gambia",41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,39,37,1.9,5.9,2.6,3,3,43.7,41.5,41,50.5,62,64.5,63.2,64.9,58.3,55.4,55.4,55.4
268,"GEO","Georgia",93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.7,93.8,93.2,94.7,94.5,94.7,94.8,95.2,96.2,97.2,97.5,98,98,97.9,97.5,97.6,97.4,97.4,97.4
276,"DEU","Germany",76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,72.5,64,58.8,60.1,57.1,57.7,63.7,68.7,69.4,77.9,79,77.9,72.9,63.3,49.7,39.8,37.1,37.1,37.1
288,"GHA","Ghana",40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,43.3,49.1,47.2,43.9,47.5,45.9,46.4,39.9,30.6,26.8,19.9,14.6,10.3,12.1,7.7,8.7,8.5,8.5,8.5
300,"GRC","Greece",77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,80.3,63.7,57.4,56.6,56.1,55.7,68.4,73.9,74.6,76.6,77.1,79.4,78.7,76.6,75.6,60.3,60.7,60.7,60.7
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,39.9,40.5,40.5,66.7,58.9,59.1,60.8,63.1,63.7,75.3,73.6,74.7,67.9,72.9,71.3,75.6,76.2,76.2,76.2
320,"GTM","Guatemala",28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,29.5,23.1,24.6,22.1,26.1,26.8,30.7,31.7,34.1,34.2,22.9,23.9,23.1,20.5,16.2,27,29.5,29.5,29.5
831,"GGY","Guernsey",97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97,96.3,91.8,92.9,91.3,90.7,91.2,93.9,94.8,95.8,96.8,97.8,97.2,97.4,95.1,94.6,94.6,94.6
324,"GIN","Guinea",67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.8,66.5,63.7,62.6,62.2,59.4,62.4,44.2,33.8,23.3,13,4.3,3.3,0.8,0,1.7,5,5,5
624,"GNB","Guinea-Bissau",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,58.4,58.5,55.3,49.8,48.8,46.3,49.2,33.9,30.6,26,19.6,14,16.6,15.4,13.6,14.5,17.3,17.3,17.3
328,"GUY","Guyana",91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,92.8,92.7,92.3,91.4,90.4,89.8,88,88.7,87.9,87.4,84,83,82,80.4,80.1,82.8,84.4,84.4,84.4
332,"HTI","Haiti",64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,67.5,67.7,65,64.9,64.8,61.7,57.6,55.9,53.6,52.1,34.8,33.6,32.8,32.4,31.7,47.4,52.6,52.6,52.6
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.9,47.6,45.9,42.4,41.8,40.5,42,41.7,40.9,40.4,27.4,20.7,18.2,16.7,13.9,21.3,25.5,25.5,25.5
344,"HKG","Hong Kong",95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,93.6,92.7,93.1,91.5,91.4,90.9,91,93.3,94.8,94.3,92.8,89.2,81.6,82.4,81,80,77.3,77.3,77.3
348,"HUN","Hungary",59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,58.8,58,56.5,57.3,56.9,56.9,55.5,55.5,52.9,53.2,50.6,49.9,47.9,48,47.6,47.7,47.4,47.4,47.4
352,"ISL","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,"IND","India",78,78,78,78,78,78,78,78,78,78,78,77.5,76.3,74.6,74.2,74.9,73.8,73,74.2,71.5,69,65.8,61.9,60.4,60.5,60.1,61.6,63.6,63.6,63.6
360,"IDN","Indonesia",34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,30.2,27.2,23,20.3,19.7,19.3,15.8,16.7,17.2,15.5,12.2,15.9,15.6,18.4,21.6,29.4,31.8,31.8,31.8
364,"IRN","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,"IRL","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,"IMN","Isle of Man",83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,86,81.4,75.4,69.5,65.2,69.7,69.2,70.9,70.1,73.9,71.6,76.7,72.7,80.5,80,82.6,80.4,80.4,80.4
376,"ISR","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,"ITA","Italy",83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.7,83.7,81,81.3,80.7,80,78,77.8,76.8,77.3,74.6,72.6,68.5,62.9,61.1,60.7,61.3,61.3,61.3
388,"JAM","Jamaica",52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,49.9,50.5,48.7,49.8,59,59.4,56.8,58.5,59.4,58.3,59.3,60.4,58.3,59.2,60.9,62,64.3,64.3,64.3
392,"JPN","Japan",84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,83.2,81.6,79.9,79.8,79.8,80,79.9,81.4,82.4,82.9,81.3,81.2,79.2,77.4,76.3,76.8,76.4,76.4,76.4
832,"JEY","Jersey",86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,83.7,80.8,80.4,64.9,59.3,55.1,57.1,58.3,69.8,79.3,88.7,90.6,90,89.4,85.2,85.2,85.2,85.2
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"KEN","Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,45.8,40.5,41.5,36.3,31.6,31.2,30,24.6,21.1,17.2,10.1,5.4,3.6,1.3,0,1.3,2,2,2
428,"LVA","Latvia",43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,40.7,39.5,38.2,37.5,36.3,35.4,35.7,35.9,36.3,39.2,39.1,37,34.1,30.6,28.1,27.7,26.5,26.5,26.5
422,"LBN","Lebanon",69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,72.8,68.7,62.3,56.9,60.3,60.8,61.7,68.5,72,71.4,68,64.5,63.8,59.4,55.4,49.8,45.7,45.7,45.7
426,"LSO","Lesotho",88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,89.2,87,84.5,84.4,82.9,83.3,82.1,81.1,77.1,81,72,69.2,68.7,70.4,65.4,64.9,64.8,64.8,64.8
430,"LBR","Liberia",61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,60.4,62.8,60.1,49.7,48.3,48.7,45.6,33.9,27.1,17.4,11.2,6,4.2,4,2.8,4.1,6,6,6
434,"LBY","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,"LIE","Liechtenstein",89.9,89.9,89.9,89.9,89.9,89.9,89.9,89.9,89.9,89.9,89.9,86.2,86.4,86.3,87.6,88.3,91.1,92.5,94.7,95.2,95.7,94.6,94.6,93.1,90.5,90,91.3,91.1,91.1,91.1
440,"LTU","Lithuania",55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,51.9,49.8,47.7,47.3,46.9,45.5,45,45.4,44.9,46.8,45.6,43.1,41.5,39.2,37.4,38.1,38.6,38.6,38.6
442,"LUX","Luxembourg",81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,76.5,70.1,58.4,60,51.9,51.4,51.7,57.5,55.9,61.4,60.8,60.6,58.7,58.1,54.6,49.7,51,51,51
446,"MAC","Macao",50,50,50,50,50,50,50,50,50,50,50,50,39.1,39.9,42,47.9,51.1,62.9,75,78.4,78.1,70.7,63.3,60.6,56.7,56.1,60.4,64.7,64.7,64.7
450,"MDG","Madagascar",45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.9,40.4,38.2,35.3,34.6,30.8,33.4,26.5,17.3,12.4,7.4,0,0,1.6,3,5.8,11.3,11.3,11.3
454,"MWI","Malawi",53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,51,48.6,46.8,47.4,51.9,50.5,46.6,45.6,36.6,33,30.6,29.3,27,29.8,27.5,26.2,26.4,26.4,26.4
458,"MYS","Malaysia",15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,14,10.6,5.9,5.2,3.2,0.4,0.7,0.6,0.5,0,1,0,2.9,5.5,10.3,14.5,14.5,14.5
462,"MDV","Maldives",83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.8,82.6,79.3,77.5,77.8,73.7,75.9,77.6,79,77.7,84.3,82.9,84.5,84.5,84.5,84.5,84.5,84.5,84.5
466,"MLI","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,"MUS","Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,"MEX","Mexico",58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,57.9,56.4,55.3,53.1,53.7,53.4,54.2,53.3,56.7,55.5,53.4,50.3,49.1,46.4,43.6,46.2,47.5,47.5,47.5
583,"FSM","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
