"code","iso","country","LEX.ind.1995","LEX.ind.1996","LEX.ind.1997","LEX.ind.1998","LEX.ind.1999","LEX.ind.2000","LEX.ind.2001","LEX.ind.2002","LEX.ind.2003","LEX.ind.2004","LEX.ind.2005","LEX.ind.2006","LEX.ind.2007","LEX.ind.2008","LEX.ind.2009","LEX.ind.2010","LEX.ind.2011","LEX.ind.2012","LEX.ind.2013","LEX.ind.2014","LEX.ind.2015","LEX.ind.2016","LEX.ind.2017","LEX.ind.2018","LEX.ind.2019","LEX.ind.2020","LEX.ind.2021","LEX.ind.2022","LEX.ind.2023","LEX.ind.2024"
72,"BWA","Botswana",27.3,28.2,29.1,29.9,30.8,31.6,32.2,33,33.7,36.3,39,41.8,44.7,48.2,49.4,50.8,52.2,53.4,54.6,55.7,56.8,57.8,58.7,59.5,60.4,60.9,61.3,61.3,61.3,61.3
76,"BRA","Brazil",31.4,34.2,37.3,40.6,41.7,42.9,44,45.1,46.1,47.2,48.4,49.7,51.4,53.1,54.6,56.5,58.2,59.8,61.3,62.6,63.8,64.6,65.4,66,66.6,66.9,67.2,67.2,67.2,67.2
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",45.4,50.7,55.9,60.9,65.9,66.5,67.2,68.1,69.3,70.4,71.5,72.5,73.2,74,74.5,75.2,76.3,77.9,79.4,80.7,81.6,81.8,82.1,82,81.9,81.8,81.6,81.6,81.6,81.6
100,"BGR","Bulgaria",43.1,43.4,43.3,42.7,42.2,46.4,51.1,55.9,60.6,65.2,65.2,65.3,65.7,66.4,67.3,68.4,69.6,70.5,71.4,72.2,72.9,73.4,73.8,74.4,75.1,75.6,75.9,75.9,75.9,75.9
854,"BFA","Burkina Faso",4.3,4.8,5.2,5.7,6.2,6.6,7,7.4,7.9,9.7,11.7,13.6,15.5,17.5,18.1,18.8,19.4,20.4,21.3,22.1,23,24,24.9,25.7,26.5,27.1,27.7,27.7,27.7,27.7
108,"BDI","Burundi",19.9,20,20.2,20.4,20.6,20.8,21,21.3,21.6,23.1,24.7,26.3,27.8,29.4,29.8,30.3,30.7,31.3,31.8,32.4,32.8,33.2,33.6,34,34.4,34.7,34.8,34.8,34.8,34.8
132,"CPV","Cabo Verde",28.7,29.8,30.8,31.9,33.1,34.2,35.2,36.2,37.1,39.8,42.6,45.6,49,52.4,53.6,54.7,55.7,56.8,57.6,58.5,59.2,60.1,61,62,63,63.8,64.6,64.6,64.6,64.6
116,"KHM","Cambodia",16.5,17.1,17.9,20,22.4,24.5,26.8,29.2,30.2,31.2,32.4,33.4,34.4,35.4,36.1,36.9,37.6,38.4,39.2,40,40.8,41.6,42.3,43,43.8,44.4,45,45,45,45
120,"CMR","Cameroon",19.6,20,20.4,20.8,21.1,21.4,21.7,21.9,22.2,23.8,25.5,27.3,29.1,31,31.7,32.4,33.2,34,34.8,35.7,36.6,37.7,38.7,39.8,40.8,41.8,42.7,42.7,42.7,42.7
124,"CAN","Canada",74.3,74.3,74.3,74.3,74.4,74.7,75,75.5,76,76.6,77.5,78.3,79.4,80.7,81.6,82.7,83.6,84.4,85.2,86,86.6,87.2,87.9,88.6,89.1,89.1,89,89,89,89
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",15.4,15.7,16.1,16.6,17,17.4,17.8,18.2,18.6,20.1,21.6,23.1,24.8,26.4,27,27.7,28.5,29.3,29.3,29.3,29.4,29.6,29.9,30.3,30.8,31.2,31.5,31.5,31.5,31.5
148,"TCD","Chad",2.8,3,3.2,3.4,3.5,3.6,3.7,3.9,4.1,5.9,7.7,9.5,11.3,13.1,13.7,14.4,15.1,16.1,16.9,17.7,18.5,19.2,20,20.7,21.4,22,22.6,22.6,22.6,22.6
152,"CHL","Chile",55.5,56.3,57.2,58.2,59.4,60.3,63.5,66.9,70.1,73.3,76.5,77.5,78.4,79.2,80.1,81.2,82.5,83.8,85,86.3,87.6,88.9,89.8,90.6,91.3,91.6,91.8,91.8,91.8,91.8
156,"CHN","China",24,25.4,26.6,27.6,28.4,30.6,32.9,35.2,37.7,40.4,41.6,42.9,44.3,45.5,46.7,48,49.1,50.1,51.2,52.5,53.3,54.3,55.5,56.9,58.2,59.3,60.4,60.4,60.4,60.4
170,"COL","Colombia",29.7,32,34.4,36.8,39.1,39.6,40.2,40.8,41.5,42.1,42.9,43.8,44.9,46.3,47.6,49,50.4,51.6,52.7,53.9,55,56.1,56.9,57.6,58.4,58.8,59.1,59.1,59.1,59.1
174,"COM","Comoros",32.7,33.7,34.8,35.7,36.7,37.6,38.6,39.5,40.3,42.5,44.8,47,49.2,51.2,51.8,52.5,53.1,53.9,54.5,55.2,55.8,56.5,57.1,57.6,58.2,58.6,59,59,59,59
184,"COK","Cook Islands",82.7,83.3,83.9,84.4,84.9,85.2,85.6,85.9,86.1,89.1,92.1,95.2,98.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
188,"CRI","Costa Rica",21.6,24.6,27.6,30.9,34.2,37.6,38.5,39.3,40,40.6,41.3,42,42.7,43.6,44.8,45.9,46.9,47.9,48.9,49.9,51.1,52.1,52.8,53.7,54.5,55,55.4,55.4,55.4,55.4
384,"CIV","Cote d'Ivoire",20.8,21.3,21.9,22.4,22.9,23.3,23.6,23.9,24.2,25.8,27.4,29,30.6,32.2,32.7,33.1,33.5,34.2,35,35.8,36.6,37.6,38.6,39.6,40.6,41.5,42.4,42.4,42.4,42.4
191,"HRV","Croatia",39.2,39.1,39.3,39.4,39.6,39.9,40.2,40.5,45.1,50,55.3,61,66.8,67.9,68.6,69.1,69.5,69.8,70.2,70.7,71.3,72.1,72.9,73.8,74.8,75.3,75.6,75.6,75.6,75.6
192,"CUB","Cuba",22.2,21.8,21.5,21.4,21.5,23.3,25.4,27.5,29.8,32,32.5,33,33.2,33.4,33.5,33.9,34.4,35,35.7,36.4,37.1,37.8,38.4,39,39.7,40.1,40.5,40.5,40.5,40.5
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",34.4,35.8,37.1,38.3,39.5,40.4,41.2,42,42.6,48.8,55.1,61.7,68.8,76.3,77.2,77.7,77.9,77.9,77.8,77.7,77.8,78.1,78.6,79.1,79.8,80,80.2,80.2,80.2,80.2
203,"CZE","Czech Republic",53.6,54.1,54.4,54.5,54.6,59.7,64.5,69.3,74.4,79.7,79.6,79.8,80.2,80.6,80.8,81.1,81.6,82,82.4,82.9,83.6,84.4,85.5,86.7,87.8,88.4,88.9,88.9,88.9,88.9
180,"COD","Dem. Rep. Congo",22.4,21.9,21.3,20.7,20.1,19.5,18.9,18.4,18.1,19.4,20.8,22.4,24.2,26.1,27.1,28.2,29.4,30.7,32.1,33.5,35,36.2,37.5,38.7,39.9,40.9,41.7,41.7,41.7,41.7
208,"DNK","Denmark",49.3,49.8,50.1,50.4,50.8,51.1,51.5,51.9,52.2,57.7,63.3,69.1,75.2,81.5,81.9,82.3,82.7,83.1,83.6,84,84.4,84.9,85.6,86.4,87.1,87.3,87.4,87.4,87.4,87.4
262,"DJI","Djibouti",26.2,26.8,27.5,28.2,29,29.7,30.3,30.9,31.5,33.4,35.3,37.3,39.4,41.6,42.2,42.8,43.5,44.2,44.8,45.5,46.3,47.2,48,48.8,49.7,50.5,51.2,51.2,51.2,51.2
212,"DMA","Dominica",41.7,42.6,43.4,44.4,45.7,48.6,51.5,54.4,57.1,59.6,60.5,61.4,62.3,63.3,64.2,65.1,65.8,66.4,67,67.6,68.1,68.5,68.7,69,69.4,69.6,69.7,69.7,69.7,69.7
214,"DOM","Dominican Republic",10.2,13,16.1,19.5,23.3,27.4,28.5,29.5,30.3,31.2,32.3,33.6,34.8,35.9,36.9,37.9,38.7,39.5,40.3,41.1,42,43,44,45.1,46.1,46.9,47.5,47.5,47.5,47.5
218,"ECU","Ecuador",37.2,37.6,38,38.1,38.5,40.8,43.3,46,48.8,51.5,52.4,53,53.4,53.7,54.1,54.8,56.1,57.6,59.2,60.6,61.6,62.4,63.2,63.9,64.5,64.9,65,65,65,65
818,"EGY","Egypt",10.6,11.6,12.6,14.9,17.3,19.5,21.6,23.6,24.1,24.5,24.8,25.1,25.5,25.9,26.2,26.7,27.2,27.7,28.2,28.9,30,31.2,32.4,33.7,35,36.3,37.5,37.5,37.5,37.5
222,"SLV","El Salvador",6.8,7.9,9,12,15.1,18.3,21.5,24.5,25.5,26.3,27.1,27.9,28.8,29.6,30.4,31.2,32.1,32.9,33.6,34.3,34.9,35.6,36.2,36.9,37.5,38,38.4,38.4,38.4,38.4
226,"GNQ","Equatorial Guinea",29.4,31.2,34.6,37.3,40,42.7,45.7,48.2,50.4,54.3,58.3,62.4,66.8,71.7,74.2,76.3,78.5,80.6,82.4,84,85.1,86,86.7,87.1,87.6,88,88.3,88.3,88.3,88.3
232,"ERI","Eritrea",27.8,29.4,31,32.5,33.9,35,36,37,37.7,39.5,41.3,43,44.7,46.1,46.3,46.7,47.3,47.9,48.3,48.9,49.3,49.7,50.1,50.5,51,51.4,52,52,52,52
233,"EST","Estonia",48.2,48.7,49,49.5,50.2,51.2,52.2,53,53.5,54,54.5,60.6,67,73.7,80.2,86.9,88.2,89.5,90.8,92.2,93.6,95,96.2,97.5,98.7,99.3,99.8,99.8,99.8,99.8
748,"SWZ","Eswatini",25.1,25.9,26.5,27.1,27.6,28.1,28.5,28.9,29.3,31.4,33.6,35.9,38.2,40.9,41.7,42.6,43.4,44.3,45.2,46,46.8,47.6,48.3,49,49.6,50.2,50.7,50.7,50.7,50.7
231,"ETH","Ethiopia",12.3,12.9,13.6,14.2,14.8,15.6,16.4,17.2,17.9,19.9,22.1,24.4,26.9,29.4,30.8,32.4,33.9,35.5,36.8,38.1,39.4,40.6,41.7,42.7,43.6,44.3,44.9,44.9,44.9,44.9
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",64.8,65.3,65.8,66.1,66.5,66.6,66.7,66.6,66.5,68.9,71.5,74.1,76.8,79.4,79.2,79.1,79.1,79.2,79.4,80,80.7,81.4,82.2,83,83.8,84.3,84.8,84.8,84.8,84.8
246,"FIN","Finland",64.8,65.2,65.5,65.7,65.9,71.8,78,84.4,91,98,98.8,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
250,"FRA","France",37.3,37.5,37.7,37.7,37.6,44.3,51.4,58.6,65.7,72.9,73.2,73.6,74.3,75,75.6,76.3,77.1,77.8,78.3,78.9,79.5,80.1,80.7,81.3,81.9,82,82,82,82,82
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",47.1,47.9,48.7,49.4,50,50.7,51.3,51.9,52.5,54.6,56.9,59.2,61.6,64,64.8,65.6,66.7,67.7,68.8,69.8,70.8,71.8,72.8,73.8,74.8,75.7,76.4,76.4,76.4,76.4
270,"GMB","Gambia",17.4,18.1,18.8,19.5,20.2,20.9,21.5,21.9,22.4,24.2,25.9,27.4,28.9,30.5,30.9,31.2,31.4,31.9,32.3,32.7,33.2,33.8,34.4,35.2,35.9,36.6,37.3,37.3,37.3,37.3
268,"GEO","Georgia",46.3,46.3,46.3,46.5,46.8,47.5,48.3,49.4,50.4,51.2,52,54.3,56.9,59.5,62,64.6,65.5,66.6,67.7,68.8,70,71.1,72.2,73.3,74.3,74.9,75.3,75.3,75.3,75.3
276,"DEU","Germany",54,53.9,54,54.2,54.3,61,67.9,74.9,82.1,89.4,89.9,90.5,90.9,91,91,91.3,91.9,92.5,92.9,93.3,93.6,94,94.5,95.1,95.6,95.6,95.6,95.6,95.6,95.6
288,"GHA","Ghana",34,34.4,34.8,35.2,35.6,36,36.5,36.9,37.4,39.3,41.2,43.1,45.2,47.4,48.2,49,50,51.1,52.2,53.2,54,54.9,55.7,56.6,57.5,58.2,58.9,58.9,58.9,58.9
300,"GRC","Greece",33.1,33.8,34.3,34.6,34.9,34.9,34.9,34.9,34.9,42.6,50.7,59.1,67.5,76,76.4,76.8,77,77.2,77.3,77.6,77.8,78.1,78.5,78.8,79.3,79.1,78.9,78.9,78.9,78.9
304,"GRL","Greenland",55.4,55.7,56.2,56.9,57.6,58.5,59.5,60.7,61.8,64.7,67.6,70.6,73.5,76.5,77.4,78.4,79.2,79.8,80.4,80.8,81.1,81.4,81.6,81.8,82,82.1,82.3,82.3,82.3,82.3
308,"GRD","Grenada",24.8,25.6,26.3,27.2,28.3,31.4,34.7,38.1,41.6,45,46.5,47.9,49.3,50.6,51.7,52.7,53.6,54.3,55,55.8,56.7,57.5,58.3,59.2,60,60.6,61,61,61,61
320,"GTM","Guatemala",0.9,3.5,6.2,9.2,12,13,14.1,15.5,17.1,18.7,20.1,21.4,22.4,23.2,23.9,24.6,25.6,26.7,27.7,28.9,30.1,31.2,32.2,33.1,34,34.6,35.1,35.1,35.1,35.1
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",10,10.5,11,11.5,12,12.4,12.8,13.3,13.7,15.4,17.1,18.7,20.4,22.3,22.8,23.3,23.9,24.7,25.5,26.3,27.1,28,29,30,31,31.9,32.6,32.6,32.6,32.6
624,"GNB","Guinea-Bissau",14.6,15.2,15.9,16.3,16.8,17.2,17.6,17.9,18.2,19.8,21.6,23.3,25.1,26.9,27.2,27.6,28.1,28.7,29.2,29.7,30.3,31,31.9,32.7,33.5,34.2,34.8,34.8,34.8,34.8
328,"GUY","Guyana",17.4,18.2,19.1,20,21.1,24,27,29.9,32.7,35.5,36.4,37.3,38.4,39.5,40.7,42,43.4,44.8,46.2,47.7,49,50.1,51.2,52.2,53.1,54.9,56.3,56.3,56.3,56.3
332,"HTI","Haiti",0,0,0.5,1.1,2.1,4.3,6.5,8.6,10.6,12.5,13.2,13.8,14.5,15.2,15.8,16.4,16.9,17.4,17.8,18.3,18.7,19,19.4,19.7,19.9,20.1,20.1,20.1,20.1,20.1
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",3.4,4.3,5,5.7,6.5,9.1,11.8,14.6,17.4,20.3,21.4,22.5,23.6,24.8,25.8,26.9,28.1,29.2,30.1,31.1,32,32.8,33.7,34.5,35.3,35.9,36.3,36.3,36.3,36.3
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",41.1,42.1,43.1,44,44.8,49.1,53.6,58.4,63.4,68.8,69.9,70.7,71.2,71.6,71.8,72,72.3,72.5,72.7,73.1,73.7,74.3,75.2,76.2,77.3,78.2,78.9,78.9,78.9,78.9
352,"ISL","Iceland",48.6,49,49.1,49.2,49.4,56.7,64.3,72,79.8,88.1,89.3,90.3,91.1,92,92.2,92.3,92.6,93,93.7,94.4,95.6,97,98.6,100,100,100,100,100,100,100
356,"IND","India",8.2,9,9.6,10.4,12.5,14.7,16.9,19,21.4,22.3,23.4,24.6,25.7,26.9,28.2,29.6,31.1,32.6,34.3,35.8,37.4,39,40.5,41.9,43.3,44.4,45.4,45.4,45.4,45.4
360,"IDN","Indonesia",29.6,30.5,31.3,31.9,32.3,32.5,32.6,32.7,35.1,37.8,41,44.6,48.7,50.1,51.6,53.4,55.4,57.5,59.4,61.3,63,64.7,66.2,67.5,68.8,69.7,70.5,70.5,70.5,70.5
364,"IRN","Iran",11.1,12.5,13.8,15.1,16.3,17.6,18.8,20,21.3,24.5,28,31.5,35,38.5,39.6,40.6,41.6,42.2,42.8,43.4,43.8,44.5,45.3,46,46.5,46.9,47.1,47.1,47.1,47.1
368,"IRQ","Iraq",26.7,27.1,27.6,28.3,29.2,30.1,31,31.7,32.1,32.8,33.4,34.1,35,36,37.1,38.3,39.8,41.3,42.8,44.2,45.6,46.9,48.3,49.6,50.8,52.1,53.2,53.2,53.2,53.2
372,"IRL","Ireland",46,46.7,47.4,48.1,48.7,49,49.3,49.7,55.5,61.5,67.8,74,80.5,80.7,80.8,81,81.2,81.4,81.7,82.1,83.1,84.1,85.1,86.4,87.8,88.4,88.9,88.9,88.9,88.9
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",51.2,51.3,51.5,51.8,52.1,52.3,52.6,52.9,53.2,57.3,61.4,65.6,69.7,73.8,74,74.3,74.7,75,75.4,75.9,76.3,76.9,77.5,78.2,78.9,79.3,79.6,79.6,79.6,79.6
380,"ITA","Italy",42.1,43.4,44.6,45.6,46.5,46.9,47.2,47.4,55.8,64.4,73.3,82.2,91.2,91.4,91.5,91.8,92.3,92.8,93.2,93.7,94.3,95,95.7,96.4,96.9,96.7,96.5,96.5,96.5,96.5
388,"JAM","Jamaica",26.1,26.4,26.7,28.6,31,33.5,36,38.6,39.5,40.3,41.3,42.4,43.5,44.5,45.4,46.4,47.1,47.6,48.1,48.6,49.1,49.6,50,50.4,50.8,51,51.1,51.1,51.1,51.1
392,"JPN","Japan",74.1,74.8,75.2,75.5,75.8,76.1,76.3,76.6,76.8,77.2,77.7,77.9,77.9,77.9,77.8,78,78.2,78.5,78.8,79.1,79.4,79.8,80.2,80.7,81.2,81.4,81.6,81.6,81.6,81.6
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",31.8,32.3,32.8,33.2,33.7,34.1,34.6,35.1,35.7,36.5,37.4,40.4,43.6,47,50.6,54,55.1,56,56.7,57.2,57.9,58.5,59.2,59.9,60.6,61.1,61.5,61.5,61.5,61.5
398,"KAZ","Kazakhstan",50.9,51.6,52.1,52.5,52.7,53,53.2,53.4,53.4,53.4,55.5,58.1,61.1,64.6,68.2,68.9,69.8,70.3,70.7,71,71.2,71.2,71.3,71.5,72,72.4,72.6,72.6,72.6,72.6
404,"KEN","Kenya",34.6,35.3,36,36.7,37.3,37.8,38.3,38.8,39.2,40.9,42.7,44.5,46.5,48.5,49.3,50.3,51.3,52.5,53.5,54.5,55.6,56.6,57.6,58.6,59.6,60.4,61.1,61.1,61.1,61.1
296,"KIR","Kiribati",54.6,54.7,54.7,54.8,54.9,55,55.1,55.3,55.6,58.3,61.1,63.9,66.8,69.3,69,68.6,68.2,67.9,67.8,67.9,68.3,69,69.5,70.1,70.6,71.1,71.5,71.5,71.5,71.5
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",42.6,43.4,44.4,45.2,46.2,46.9,47.6,48.3,49,55.1,61.5,68.1,74.9,82,82.5,83.2,84.2,85.3,86.1,86.7,87.3,88,88.5,88.9,89.3,89.3,89.2,89.2,89.2,89.2
417,"KGZ","Kyrgyzstan",41.7,42,42,41.7,41.3,41,40.7,40.3,40,39.6,39.2,40.4,41.9,43.6,45.3,47,47.3,47.5,48,48.6,49.2,49.8,50.2,50.6,51.2,51.6,51.9,51.9,51.9,51.9
418,"LAO","Laos",16.4,17.1,17.9,18.7,19.6,20.2,21,21.9,22.7,25.4,28.1,31.1,34.3,37.6,39,40.6,42.4,44.3,46.2,48,49.6,51,52.3,53.6,54.8,55.7,56.5,56.5,56.5,56.5
428,"LVA","Latvia",51.9,52.4,52.7,52.9,53.1,53.4,53.8,54.2,54.8,55.5,56.2,61.6,67.5,73.6,79.2,83.9,84,84.4,84.9,85.4,86.2,87,88,89,90.1,90.8,91.3,91.3,91.3,91.3
422,"LBN","Lebanon",31.8,32.4,33,33.9,34.8,35.9,37.1,38.4,39.7,44.9,49.6,54.2,58.9,63.9,65.6,67.3,68.9,70.2,71.2,71.9,72.5,73,73.4,73.8,74.3,74.4,74.4,74.4,74.4,74.4
426,"LSO","Lesotho",15.4,16,16.5,17,17.5,18,18.5,19,19.5,21.1,22.8,24.4,26.1,28.3,29.1,30,30.8,31.7,32.6,33.4,34.3,35.1,35.8,36.5,37.3,37.9,38.4,38.4,38.4,38.4
430,"LBR","Liberia",10.9,10.1,9.9,10.1,10.8,12,13.1,14.1,14.4,16.1,17.9,19.7,21.4,23.2,23.8,24.4,25,25.9,26.8,27.7,28.5,29.3,30,30.8,31.5,32.1,32.6,32.6,32.6,32.6
434,"LBY","Libya",39.9,41.5,43.1,44.6,45.9,47.1,48.1,49.1,50.1,54.4,58.8,63.5,68.5,73.6,74.6,75.6,74.7,75.2,74.5,73.2,72.1,70.9,70.3,70.1,69.7,69,69.1,69.1,69.1,69.1
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",50.5,51,51.4,51.9,52.4,53,53.5,54.1,54.6,55.1,55.5,61.7,68.5,76,83.7,91.8,93.4,94.9,96.4,97.9,99.4,100,100,100,100,100,100,100,100,100
442,"LUX","Luxembourg",46.2,46.8,47.3,47.7,47.8,55.3,63.1,71.4,79.9,88.8,89.6,90.4,91.3,91.7,91.8,91.9,92.1,92.2,92.3,92.5,92.7,93,93.4,93.9,94.4,94.5,94.7,94.7,94.7,94.7
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",26.8,26.9,27.1,27.3,27.6,27.9,28.4,28.8,29.2,31,32.8,34.7,36.6,38.7,39.4,40.3,41.2,42.2,43,43.8,44.7,45.7,46.7,47.7,48.9,49.8,50.7,50.7,50.7,50.7
454,"MWI","Malawi",18.9,19.4,20,20.5,21,21.5,22,22.5,23.2,25.2,27.3,29.5,31.9,34.4,35.5,36.6,37.8,38.8,39.7,40.5,41.4,42.3,43.2,44.1,45.1,45.9,46.5,46.5,46.5,46.5
458,"MYS","Malaysia",34.4,35.1,35.8,36.6,37.3,37.7,43.6,49.6,55.9,62.5,69.8,71,72.3,73.9,75.3,76.9,78.5,80,81.7,83.4,85.1,86.8,88.4,90.1,91.7,92.8,93.7,93.7,93.7,93.7
462,"MDV","Maldives",31.7,34,36.5,38.8,41,42.8,44.3,45.7,47.1,50,52.7,55.7,59,62.4,63.6,64.8,66,67.2,68.4,69.8,71,72.1,73.3,74.3,75.3,75.9,76.5,76.5,76.5,76.5
466,"MLI","Mali",2.6,3.1,3.5,3.9,4.4,4.7,5.1,5.5,5.9,7.4,9,10.7,12.3,14,14.6,15.2,15.7,16.4,17,17.6,18.3,19.1,20,20.9,21.7,22.5,23.3,23.3,23.3,23.3
470,"MLT","Malta",14.9,15,15.1,15.6,16.2,16.8,17.4,17.8,18.3,25.8,33.3,40.5,47.8,55.8,57,58,58.9,59.6,60.3,61.2,62.4,63.6,64.9,66.4,67.9,68.8,69.6,69.6,69.6,69.6
584,"MHL","Marshall Islands",60.4,60.7,60.9,61.1,61.1,61.2,61.2,61.4,61.5,62.9,64.4,65.9,67.5,69,69.2,69.4,69.7,70,70.4,70.9,71.4,72,72.6,73.2,73.8,74.3,74.7,74.7,74.7,74.7
478,"MRT","Mauritania",31.1,31.7,32.2,32.7,33.1,33.4,33.6,33.8,34.1,35.6,37.3,39.3,41.2,43.1,43.6,44.2,44.8,45.6,46.3,47.1,47.8,48.7,49.6,50.5,51.4,52.3,53.2,53.2,53.2,53.2
480,"MUS","Mauritius",45.6,46.6,47.6,48.4,49.1,49.5,49.9,50.2,50.5,54.1,57.9,61.7,65.7,70,70.8,71.8,72.9,74.2,75.5,76.9,78.1,79.3,80.4,81.6,82.8,83.7,84.4,84.4,84.4,84.4
484,"MEX","Mexico",21.8,22.4,23.1,23.7,24.2,27.2,30.5,33.9,37.4,41,41.9,42.8,43.7,44.7,45.4,46.1,47,48,49,50.2,51.4,52.6,53.8,54.8,55.8,56.3,56.7,56.7,56.7,56.7
583,"FSM","Micronesia",57.8,58.5,59,59.6,60.1,60.7,61.4,62.1,62.7,64.8,66.9,69,71,73.2,73.8,74.4,75.1,75.7,76.1,76.5,77,77.5,78,78.5,79.1,79.6,80,80,80,80
498,"MDA","Moldova",40.4,40.9,41.3,41.7,41.9,42.1,42.5,43,43.7,44.4,45.2,48.1,51.2,54.5,57.8,61.4,62.7,63.9,65,66.1,67,67.9,68.8,69.7,70.5,71,71.5,71.5,71.5,71.5
492,"MCO","Monaco",40.4,40.5,40,39.3,38.6,37.8,49.4,61.6,73.5,84.8,95.1,94.4,94.9,95.8,96.1,96.3,96.5,96.8,97.4,98.3,99.3,100,100,100,100,100,100,100,100,100
496,"MNG","Mongolia",38,38.6,39.3,39.8,40.3,40.8,41.2,41.6,41.7,41.8,41.8,43.5,45.3,47.2,49,51,51.4,51.9,52.3,52.7,53,53.1,53.2,53.4,53.9,54.3,54.5,54.5,54.5,54.5
499,"MNE","Montenegro",47.8,47.7,47.7,47.6,47.5,47.4,47.4,47.5,50.9,54.6,58.6,63,67.9,69.1,69.8,70.4,71.2,71.8,72.4,73.1,73.9,74.7,75.6,76.6,77.6,78,78.4,78.4,78.4,78.4
504,"MAR","Morocco",29.5,30.2,30.8,31.5,32.1,32.7,33.4,34,34.6,36.9,39.2,41.6,44.1,46.9,48.1,49.3,50.6,51.8,53,54.1,55.3,56.4,57.5,58.6,59.7,60.6,61.5,61.5,61.5,61.5
508,"MOZ","Mozambique",9.5,10.3,11.2,12.1,13,13.8,14.7,15.7,16.7,17.7,19.9,22.1,24.4,26.6,28.8,29.9,30.9,32,33.1,34.3,35.5,36.7,37.8,38.9,39.9,40.8,41.6,41.6,41.6,41.6
104,"MMR","Myanmar",22.7,23.5,24.4,26.6,28.7,30.6,32.5,34.4,35.2,36.1,37.2,38.4,39.5,40.7,41.7,43.1,44.4,45.8,47.2,48.6,50,51.2,52.4,53.5,54.6,55.5,56.3,56.3,56.3,56.3
516,"NAM","Namibia",27.2,27.7,28.1,28.5,28.8,29.2,29.5,29.7,29.9,31.9,34.2,36.5,39,41.8,42.5,43.3,44.2,45.3,46.3,47.5,48.7,49.7,50.7,51.5,52.2,52.7,53.1,53.1,53.1,53.1
