"code","iso","country","NXA.ind.1995","NXA.ind.1996","NXA.ind.1997","NXA.ind.1998","NXA.ind.1999","NXA.ind.2000","NXA.ind.2001","NXA.ind.2002","NXA.ind.2003","NXA.ind.2004","NXA.ind.2005","NXA.ind.2006","NXA.ind.2007","NXA.ind.2008","NXA.ind.2009","NXA.ind.2010","NXA.ind.2011","NXA.ind.2012","NXA.ind.2013","NXA.ind.2014","NXA.ind.2015","NXA.ind.2016","NXA.ind.2017","NXA.ind.2018","NXA.ind.2019","NXA.ind.2020","NXA.ind.2021","NXA.ind.2022","NXA.ind.2023","NXA.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,30.6,39.6,39.2,34.2,34.2,34.2,34.2
8,"ALB","Albania",72.8,72.8,72.8,72.8,72.8,22.1,0,0,0,0,0,0,22.8,60.3,70.6,88.1,98.9,100,100,88,80.4,78,79.1,78.7,86,100,100,100,100,100
12,"DZA","Algeria",81.1,81.1,81.1,81.1,81.1,80.4,72.5,61.2,50.6,41.4,34.4,26.6,20.3,16.7,12.5,10.5,11.1,6.4,7.1,7.1,9.1,14.1,20.2,28.2,34.4,46.2,54.8,60.7,60.7,60.7
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",58.4,58.4,58.4,58.4,58.4,58.2,54,50.3,38.7,26.6,27.8,21.7,14.2,9,0,0,0,0,0,0,0,0,0,24.4,38.1,66.8,68,69.6,69.6,69.6
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",25.9,25.9,25.9,25.9,25.9,27.9,31.2,32.5,33.6,34,34.6,28.8,26.1,20.9,17.3,16.4,27.5,37.7,39.5,41.8,45.2,52.3,60.4,66.9,68.6,71.5,82.5,84.8,84.8,84.8
32,"ARG","Argentina",27,27,27,27,27,36.4,45.6,57.2,63.7,62.1,60.1,51,39.6,30.3,28.6,25.7,25.3,32,36.7,41,44.9,48.3,50,54,64.4,68.6,68.9,69,69,69
51,"ARM","Armenia",100,100,100,100,100,100,100,81.4,22.9,15.9,8.9,19.4,14.5,14.5,33.5,35.1,35.5,38.4,41.2,40.3,41.7,49.7,46.1,27.7,21.1,20.4,19,18.6,18.6,18.6
533,"ABW","Aruba",19.5,19.5,19.5,19.5,19.5,8.4,0,1.7,0,0,0,22.8,33.1,42.6,50.1,53.4,68,72.7,67.6,60.3,50.6,47,44.7,48.1,47.7,52.9,67.2,67.2,67.2,67.2
36,"AUS","Australia",67,67,67,67,67,65.8,68,70.9,76.9,85.2,88.8,90.3,90,88.4,87.7,86.6,88.7,89.4,91.2,93.1,91.9,93.1,91.5,86.4,85.8,89,93.5,98.2,98.2,98.2
40,"AUT","Austria",74.8,74.8,74.8,74.8,74.8,70.2,61.4,54.9,49,46.8,46.1,44.6,49.9,56,67.8,81.9,98.7,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",94.8,94.8,94.8,94.8,94.8,100,100,100,100,100,86,70.1,66.8,59.3,70.5,71.9,75.1,75.8,70.5,65.8,63.7,61.4,61.3,53.3,55,63.3,63.9,60.3,60.3,60.3
44,"BHS","Bahamas",7.4,7.4,7.4,7.4,7.4,4.1,6.4,15.5,44.7,64.1,79.4,82.8,84.6,73.9,79.5,64,62.6,56.1,63.9,67,70.2,73.2,75.3,78,83.5,72.9,78.3,79.8,79.8,79.8
48,"BHR","Bahrain",37,37,37,37,37,44.9,57.1,59.2,57.4,55.1,44.9,37,33.9,30.7,35.2,43.9,56.6,66.3,76,90.1,84.3,74.9,67,60.3,56.3,56.8,59.8,60.7,60.7,60.7
50,"BGD","Bangladesh",17.6,17.6,17.6,17.6,17.6,23.5,26.5,29.3,33.9,37.9,36,33.3,31.6,29.5,28.6,28.9,24.2,19.8,18.8,16.8,15.1,13.3,12.1,9.9,13.3,22.7,20.6,19.5,19.5,19.5
52,"BRB","Barbados",77.5,77.5,77.5,77.5,77.5,74.2,61,55.6,54,55.8,49.4,52.8,53.9,43,36.4,27.9,28.5,35.7,41,53.9,59.7,69,83.9,90,96.1,88.8,81.7,74.8,74.8,74.8
112,"BLR","Belarus",100,100,100,100,100,100,100,100,100,91.6,78.8,65.3,57.5,47.5,47.7,46.7,49,50.5,56,60.3,69.8,77.6,90.8,92.5,100,100,100,100,100,100
56,"BEL","Belgium",78.6,78.6,78.6,78.6,78.6,88.8,98.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,"BLZ","Belize",28.5,28.5,28.5,28.5,28.5,29.1,22.6,32.9,46.1,65.3,75.4,100,100,100,100,70.2,45.9,36.6,31.2,32.3,32.2,31.5,38.6,55,67.5,75.8,76.8,71.2,71.2,71.2
204,"BEN","Benin",2.7,2.7,2.7,2.7,2.7,12,21.3,27,31.9,39.2,48.2,32.6,10.2,0,0,0,0,0,0,2.8,5.7,1.3,0,0,0,0,20.5,44.6,44.6,44.6
60,"BMU","Bermuda",74.5,74.5,74.5,74.5,74.5,67.2,58.8,57.2,54.3,50.6,52.1,49.2,46.7,49.6,55.2,53,69.7,75,77.2,72.7,73.7,72.8,67,61.4,59.2,49.8,60.7,64.9,64.9,64.9
64,"BTN","Bhutan",89.2,89.2,89.2,89.2,89.2,88.8,83.6,73.8,61.5,53.1,47.3,43.5,48.2,51.3,52.2,56.7,60.1,62.1,54.8,47.5,37.9,30.4,33.3,36.9,42.3,47.2,51.5,51.5,51.5,51.5
68,"BOL","Bolivia",40.4,40.4,40.4,40.4,40.4,40.4,42.2,45.4,45.9,43.3,37.6,36.3,37.4,39.1,42,37.3,34.3,30.6,27.6,24.2,23.9,25.9,28.3,32.7,37,50.9,55,55.9,55.9,55.9
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,4.2,18.8,25.9,43.7,46.4,45,47.2,55,75.2,100,100,100,100,100,100,100,100,100,100
72,"BWA","Botswana",36.3,36.3,36.3,36.3,36.3,30,30.7,26.9,27.5,33,34.8,43.6,54.5,53.4,54.4,60.5,59.4,51.4,43.6,33,24.5,22.7,21.3,13.9,20.3,47,65.8,74.9,74.9,74.9
76,"BRA","Brazil",30.4,30.4,30.4,30.4,30.4,35.5,40.2,45.2,51.1,52.6,55.6,54.5,51.1,45.8,44.1,43.7,43.8,43.7,43.7,41.7,45.5,53.6,60,65.9,70.9,71.6,73.9,82.2,82.2,82.2
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",54.7,54.7,54.7,54.7,54.7,80,100,100,100,100,100,72.4,52.7,36.9,33.2,41.3,51.6,62.3,68.2,77.9,99.8,93.5,91.7,80.3,71.6,69.3,68.9,67.1,67.1,67.1
100,"BGR","Bulgaria",69,69,69,69,69,67.5,68.4,70.4,69,67.9,65.8,64.6,65.2,66.7,82.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",36.4,36.4,36.4,36.4,36.4,40.8,41.7,45.5,46.6,45.2,40.5,36.7,23.6,11.8,10.7,11.8,8.5,8.2,5.2,10.1,11.9,15.5,15.9,16.9,21.3,28.8,34,35.7,35.7,35.7
108,"BDI","Burundi",47.3,47.3,47.3,47.3,47.3,56.8,57.6,58.9,61.4,57.9,54.4,48.3,39.2,33.5,36.9,41.2,38.2,48.7,57.4,66.5,79.2,88.9,82.7,79.7,73.1,65.3,54,53.2,53.2,53.2
132,"CPV","Cabo Verde",29.2,29.2,29.2,29.2,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,27,27.3,23.8,18.7,15.4,16.2,20.1,12.2,12.6,12.6,12.6
116,"KHM","Cambodia",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,36.9,81.8,90.6,96.8,95.1,83.6,64,53.8,41.2,32.4,31,28.8,24.5,18.9,16.8,17.4,6.9,2.1,0.9,4.4,4.4,4.4
120,"CMR","Cameroon",61.5,61.5,61.5,61.5,61.5,60.3,61.2,60.2,57.1,51.6,45.8,42.1,39.9,38.4,37.9,36.3,36.3,34.6,33.5,31.4,33,37.5,41.6,46.8,49.8,53.3,58,60.9,60.9,60.9
124,"CAN","Canada",41.1,41.1,41.1,41.1,41.1,42.3,49.3,56.6,63.2,71.5,88.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
136,"CYM","Cayman Islands",58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,71.5,78.9,81.9,84.7,85.3,86.4,86.4,86.4,86.4
140,"CAF","Central African Republic",52.9,52.9,52.9,52.9,52.9,54.8,54.4,53.6,54,52.9,50.4,48.2,46.4,44.5,46.6,46,41.4,38.2,38.5,40.9,41.8,40.8,40,40.3,40.7,42.7,41.9,40.6,40.6,40.6
148,"TCD","Chad",35.2,35.2,35.2,35.2,35.2,36.6,34,30.2,30,27.9,25.2,23.6,22.7,23.2,25,25.2,25.5,26.4,27.6,28.9,27.1,25.5,24,24.2,25.3,27.4,29.9,32.7,32.7,32.7
152,"CHL","Chile",6.8,6.8,6.8,6.8,6.8,13.4,28.3,42.4,56.9,65.7,72.8,71.3,56.2,41.8,31.2,28.6,31,28.9,32.2,39.2,47.6,53.9,49.3,45.5,46.5,55.5,62,63.4,63.4,63.4
156,"CHN","China",19,19,19,19,19,23.5,28.9,32,28.8,22.3,12.1,0.1,0,0,0,7,16.6,28.5,40.9,53.8,66.3,81.5,97.3,100,100,100,100,100,100,100
170,"COL","Colombia",58.6,58.6,58.6,58.6,58.6,67.4,74,87.2,96.5,100,100,100,94.4,88.8,84.1,73.8,60.1,52.6,38.6,27.5,19,18.3,23.3,33.1,41.3,54.8,59.2,64.3,64.3,64.3
174,"COM","Comoros",50.8,50.8,50.8,50.8,50.8,46,41.2,36.8,30.1,23,17.7,13.1,21.8,30.7,38.5,40,44.7,49.6,48.2,49.1,48.5,42.5,43.5,45.2,42.5,37.9,37.5,37.8,37.8,37.8
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",28.4,28.4,28.4,28.4,28.4,44.2,57.7,59.2,61.3,53.2,47.6,45.9,43.8,41.9,42.8,44.8,46,49.7,51.1,49.8,54.5,55.5,52.9,53.1,54.7,60.6,61.9,62.7,62.7,62.7
384,"CIV","Cote d'Ivoire",25,25,25,25,25,23.2,24.1,27,42.9,54.7,62.3,66.8,68.2,67,63.1,57.2,49.9,29.4,24.4,17.5,10.9,14.3,19,23.2,30.8,43.6,51,49.3,49.3,49.3
191,"HRV","Croatia",58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,65.2,70.6,73.1,76.9,81.8,95.4,100,100,100,85.7,69.6,78.3,86.7,100,100,100,100,100,100,100
192,"CUB","Cuba",73.6,73.6,73.6,73.6,73.6,73.9,69.7,67.2,85.2,100,100,100,100,100,100,100,100,91.7,84.5,70.9,63,65.8,67.4,69.1,77.3,83.5,86.4,84.5,84.5,84.5
531,"CUW","Curacao",72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,76.1,80.6,86.8,90.5,90.6,86.8,77.5,70,68.3,67.1,67.2,67.2,67.2,67.2,67.2
196,"CYP","Cyprus",40.1,40.1,40.1,40.1,40.1,44.3,51.1,54.4,56.4,59.3,66.3,76.9,90.2,100,100,100,100,100,100,96.7,91.1,93.6,100,100,100,100,100,100,100,100
203,"CZE","Czech Republic",100,100,100,100,100,100,100,100,100,100,99.8,90.7,84.7,85,97.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,"COD","Dem. Rep. Congo",53.3,53.3,53.3,53.3,53.3,53.4,56.1,57.5,56.7,54.3,50.1,45.4,39.9,33.6,28.6,28,27.7,37.8,39.5,35.1,39.6,47.7,63.9,82.7,100,100,100,100,100,100
208,"DNK","Denmark",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,"DJI","Djibouti",17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1
212,"DMA","Dominica",11.2,11.2,11.2,11.2,11.2,12.9,11.2,18.9,29.9,28,16.8,12,4.1,5.4,14.4,14.2,22,39.3,49,52.7,56.9,66.9,66.6,68.8,69.9,67.9,67.9,68.6,68.6,68.6
214,"DOM","Dominican Republic",0,0,0,0,0,0,0,0,0,7.9,24.7,42.8,59.3,71.1,79.5,81.7,78.6,68.2,72.5,80.3,68.6,60.5,57.1,51,44.3,45.3,43.6,43.5,43.5,43.5
218,"ECU","Ecuador",38.2,38.2,38.2,38.2,38.2,52.9,63.3,70,86.6,93.1,93.1,81.7,67.4,57.9,49.4,42.6,37.3,33.5,31.8,26.7,24.1,27.3,35.4,44.8,53.7,61.9,66.3,68.1,68.1,68.1
818,"EGY","Egypt",27,27,27,27,27,23.5,24.7,26.5,31.2,38.6,44.6,48.4,42.9,37.4,33.1,29.5,30.3,31,35,36.8,39.6,41.9,43.7,49,58.4,67.4,74,76,76,76
222,"SLV","El Salvador",0,0,0,0,0,14.6,20.9,27.9,34.5,40.5,39.7,44.5,43.2,47,52.9,64.9,71.1,84.9,94.8,100,96.4,82.8,82.3,86.9,76.4,84,82.1,82.3,82.3,82.3
226,"GNQ","Equatorial Guinea",5.8,5.8,5.8,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,7.9,51.5,81.1,81.8,83.2,74.7,90.1,79.2,60.5,44.7,30.4,18.5,18.5,18.5
232,"ERI","Eritrea",34.1,34.1,34.1,34.1,34.1,34.1,34.1,47.9,53.2,56.3,59,61.9,63.3,75.7,76.5,78.6,72.2,66.1,58.1,49.8,44.3,45,47.2,49.7,52.2,52.2,52.2,52.2,52.2,52.2
233,"EST","Estonia",71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,82,84.6,75.5,75.8,93.4,99.5,95,91.1,83.5,82.7,92.6,100,100,100,100,100,100,100,100,100
748,"SWZ","Eswatini",44.5,44.5,44.5,44.5,44.5,22,2.2,0,5.2,8.7,12.9,24,24.7,28.8,37.6,42.1,62.7,85.1,100,100,100,100,100,100,84.8,64.4,61.2,62.8,62.8,62.8
231,"ETH","Ethiopia",94.7,94.7,94.7,94.7,94.7,74.1,45.3,35.8,35.6,35.3,35.2,33.6,31.4,26.1,23.2,27.3,28.3,28.6,30.4,30.1,32.5,32.9,33.4,29.7,25.1,30.6,36.2,41.4,41.4,41.4
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",77.2,77.2,77.2,77.2,77.2,63.8,59.2,56.8,47.1,29.7,22.7,17.2,31.3,70.5,100,100,100,100,100,100,77,44.6,23.3,21.8,30.2,52.1,47.3,66.2,66.2,66.2
246,"FIN","Finland",92.5,92.5,92.5,92.5,92.5,97.7,95.5,95.1,85,80.2,91.3,91,93.9,100,100,100,100,100,100,100,100,98.2,100,100,100,100,100,100,100,100
250,"FRA","France",97.2,97.2,97.2,97.2,97.2,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",25.1,25.1,25.1,25.1,25.1,36.7,45,47.8,41.9,35.2,18.5,2,0,0,0,0,0,12.6,20.1,31.4,38.4,44.6,56.8,66.9,74.7,73.1,84.5,100,100,100
270,"GMB","Gambia",47.1,47.1,47.1,47.1,47.1,37.1,25.6,18,13.9,7.3,6.1,6.1,13.1,21.1,30.6,28.4,19.9,17.6,20.2,21,20.2,16.8,15.7,16.5,16.4,18.2,17.2,18.9,18.9,18.9
268,"GEO","Georgia",100,100,100,100,100,100,100,100,100,100,100,100,60.6,49.8,34.5,25.7,23.9,25.3,17.4,14.4,8.9,6.2,0.6,13.7,19.7,34.7,51.7,68,68,68
276,"DEU","Germany",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.8,92.1,90.3,90.3,89.5,92.2,100,100,100,100,100,100,100
288,"GHA","Ghana",0,0,0,0,0,0,0,0,1.8,16.3,28.9,34.5,44.5,43,33.4,28.5,26.1,8,0,2.3,12.5,13.9,23.2,36.9,45,53.1,60.1,57.4,57.4,57.4
300,"GRC","Greece",55.6,55.6,55.6,55.6,55.6,56.3,54.3,53,52.3,52,53.9,57,59.5,61.5,64.3,75.8,81.5,83.8,79.7,77.7,71.1,68.3,70.1,77.9,84.9,81.6,88.9,98.7,98.7,98.7
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",21.1,21.1,21.1,21.1,21.1,30.6,37.1,41.1,43.3,43.9,45.7,47.2,39.4,33.3,33.2,29.6,34.5,40.4,36.5,44.5,50.6,59.4,70.5,78.3,84.3,83.9,88.4,87.3,87.3,87.3
320,"GTM","Guatemala",0,0,0,0,0,0,9.5,19.5,21.7,28.4,33.6,50.8,64.7,68.9,64.2,69.8,66.1,71,65.5,61.3,54.3,53.6,54.3,58.9,47.3,50.3,37.7,37.8,37.8,37.8
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",40.4,40.4,40.4,40.4,40.4,33.5,27.1,23.1,22.1,21.6,16,11.4,18.9,29.5,36.2,33,28.9,28.9,34.7,40,42,41.8,41.5,41.7,40.5,36.8,32.3,28.7,28.7,28.7
624,"GNB","Guinea-Bissau",51.1,51.1,51.1,51.1,51.1,54.6,56.8,58.3,56.5,52.8,48.5,44.6,41.6,39.7,36.6,37.7,36.2,36.6,36.2,36.5,35.7,34.1,32.5,32.9,33,35.4,36.1,35.9,35.9,35.9
328,"GUY","Guyana",23.4,23.4,23.4,23.4,23.4,17,16.3,20.9,28.2,33.5,45.8,63.9,76,88.7,87.9,71.7,58.1,42.6,31.4,21.9,19.6,24.9,27.5,34.3,44.2,48.2,48.7,47,47,47
332,"HTI","Haiti",32.8,32.8,32.8,32.8,32.8,18,5.2,0,7.9,39.1,49,55.7,50.4,50.3,51.9,55.7,58.7,46.1,41,28.1,18.4,13.8,8.7,12.7,19.7,33.6,50.8,57.9,57.9,57.9
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0,0,0,0,0,0,0,0,4.1,4,0,7.5,4.8,0.6,12.2,26.2,33.8,40.1,45.2,42.4,34.5,38.5,41.1,48.4,52,63.8,70.7,77.9,77.9,77.9
344,"HKG","Hong Kong",33.8,33.8,33.8,33.8,33.8,39.2,46.3,54.5,54.9,69.4,86.1,100,100,100,100,90.9,73.7,68.6,61.5,62.1,66.2,73.2,78,89.8,82.9,91.3,100,100,100,100
348,"HUN","Hungary",74.4,74.4,74.4,74.4,74.4,74.4,70.2,76,79.7,84.1,90.2,96.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
352,"ISL","Iceland",85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,91.7,93.3,85.2,88.4,89.7,91.4,100,100,100,100,100,100,100,100,100,100,96.5,95.2,95.2,95.2
356,"IND","India",21.9,21.9,21.9,21.9,21.9,26,31.1,37,42.9,45.9,45.7,44,40,35,28.5,23.3,20.5,19.6,22.8,24.8,29,36.4,41.3,44.8,49.8,59.3,64.7,66.4,66.4,66.4
