"code","iso","country","SPI.ind.1995","SPI.ind.1996","SPI.ind.1997","SPI.ind.1998","SPI.ind.1999","SPI.ind.2000","SPI.ind.2001","SPI.ind.2002","SPI.ind.2003","SPI.ind.2004","SPI.ind.2005","SPI.ind.2006","SPI.ind.2007","SPI.ind.2008","SPI.ind.2009","SPI.ind.2010","SPI.ind.2011","SPI.ind.2012","SPI.ind.2013","SPI.ind.2014","SPI.ind.2015","SPI.ind.2016","SPI.ind.2017","SPI.ind.2018","SPI.ind.2019","SPI.ind.2020","SPI.ind.2021","SPI.ind.2022","SPI.ind.2023","SPI.ind.2024"
4,"AFG","Afghanistan",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,3.1,3.1,3.1,5.3,9.1,9.1,9.1,9.1,9.1
8,"ALB","Albania",3.6,9.8,10.3,10.3,14,14,14,14.2,14.2,17.2,21.9,31.4,36.1,42.1,42.2,44.2,50.4,52.4,54.4,54.4,54.4,54.4,54.4,56.8,56.8,56.8,56.8,56.8,56.8,56.8
12,"DZA","Algeria",34.1,34.1,34.1,34.1,34.1,34.1,42.5,42.5,44.6,45.5,45.5,45.5,45.5,73.1,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.3,73.8,73.8,73.8,73.8,73.8,73.8
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",4,4,4,4,4,4,4,4,4,4,19.4,19.4,19.4,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.9,19.9,19.9,19.9,19.9,19.9,19.9
32,"ARG","Argentina",15.8,16.7,17.8,17.9,20.6,22.8,24,24.9,26.6,28,28.6,29.1,29.1,29.2,29.8,29.8,29.9,30,30,30.3,30.9,30.9,31.1,31.9,31.9,31.9,32.3,32.9,32.9,32.9
51,"ARM","Armenia",31.3,31.3,31.3,31.3,31.3,31.3,31.3,33.2,33.2,33.2,33.2,33.2,33.2,33.2,37.2,37.3,38.6,38.6,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",16.7,17,17.5,17.9,19.1,20.2,20.6,23.7,24.5,25.5,26.1,27.9,29.5,31.8,36.1,38.1,41.5,44.1,49.8,51.9,53.5,56.9,57.7,60.4,62.5,65,65,65,65,65.8
40,"AUT","Austria",30.9,35.1,41.5,44.5,44.7,45,45.7,48.2,49.8,50.8,58.5,65.1,65.5,65.8,71.2,74.4,74.9,75,75.7,75.9,78.9,80.1,80.4,82.1,82.3,82.4,83,83,83,83.6
31,"AZE","Azerbaijan",22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,27.1,30.7,31.1,36.6,36.6,37.6,41.7,41.7,42.1,42.1,42.1,42.1,42.1,42.1,42.1,42.7,42.9,42.9,42.9,42.9,42.9,43.1
44,"BHS","Bahamas",0.3,0.3,7.2,7.2,7.2,7.2,7.2,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,18.1,18.1,18.1,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
48,"BHR","Bahrain",3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
50,"BGD","Bangladesh",15.7,17.8,17.8,17.8,18,18.3,18.4,18.4,18.4,18.4,18.4,18.4,18.5,18.5,18.9,19.6,19.7,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8
52,"BRB","Barbados",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2
112,"BLR","Belarus",9.3,9.6,9.6,9.6,9.6,9.6,9.6,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,11.5,11.5,11.5,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,90.6
56,"BEL","Belgium",4.9,5.1,5.2,5.3,5.3,5.7,6.7,7,10.4,10.7,10.8,10.9,11,11.1,12.8,12.8,12.9,12.9,13,33,38.7,87.3,87.5,88.1,94.7,94.9,96,96,96,96
84,"BLZ","Belize",87.9,88,88,88.9,88.9,88.9,89.4,89.5,89.5,89.6,89.8,89.8,90,90,90,90,90.1,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3
204,"BEN","Benin",66.8,66.8,66.8,66.8,66.8,71.2,71.3,71.7,71.7,72,72,72,73.8,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",55.8,55.8,55.8,55.8,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2
68,"BOL","Bolivia",55.8,55.9,57.9,59.4,59.4,60,61.6,63.3,63.3,64,64.3,64.3,66.7,66.8,66.8,67.3,67.3,67.3,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.1,69.4
70,"BIH","Bosnia and Herzegovina",8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.5,8.5,8.6,8.7,8.9,17.6,18.3,18.3,18.6,18.6,18.6,19.1,19.2,19.2,19.5,19.6,19.9,21.4,21.9,22,22,22
72,"BWA","Botswana",81.5,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7
76,"BRA","Brazil",35.8,37.4,41.2,44.8,47.1,49.7,52.3,55.1,56.1,57,57.4,59,59.6,61,62.1,64.7,65,65.6,66.2,66.6,66.7,67.2,68.3,69.2,69.3,69.3,69.4,69.5,69.6,69.6
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6,89.6
100,"BGR","Bulgaria",1,1,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,20.3,91,91,91,91.1,91.2,91.3,91.3,91.3,91.4,91.4,91.5,91.5,91.5,91.5,91.5,91.5,91.5
854,"BFA","Burkina Faso",55.4,55.4,55.4,55.4,55.4,55.4,55.4,55.5,55.5,55.5,55.5,55.5,63.7,63.8,78.2,78.2,78.2,78.2,78.2,78.2,83.3,83.6,86.3,89.8,89.8,89.8,89.8,89.8,89.8,89.8
108,"BDI","Burundi",27.9,27.9,27.9,27.9,27.9,28.6,28.6,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,37
