"code","iso","country","GIB.ind.1995","GIB.ind.1996","GIB.ind.1997","GIB.ind.1998","GIB.ind.1999","GIB.ind.2000","GIB.ind.2001","GIB.ind.2002","GIB.ind.2003","GIB.ind.2004","GIB.ind.2005","GIB.ind.2006","GIB.ind.2007","GIB.ind.2008","GIB.ind.2009","GIB.ind.2010","GIB.ind.2011","GIB.ind.2012","GIB.ind.2013","GIB.ind.2014","GIB.ind.2015","GIB.ind.2016","GIB.ind.2017","GIB.ind.2018","GIB.ind.2019","GIB.ind.2020","GIB.ind.2021","GIB.ind.2022","GIB.ind.2023","GIB.ind.2024"
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",54.3,54.3,54.3,54.3,54.3,54.7,52.4,50.7,49.3,47.8,47.4,48,49.6,50.5,52,54.6,55.2,56.3,54.4,53.3,52.7,53.5,55,57.1,57.2,56.2,56,56.2,56.2,56.2
344,"HKG","Hong Kong",53.3,53.3,53.3,53.3,53.3,51.1,50.8,47.2,41.8,44.5,48.3,58.3,68.7,70.7,68.6,70.6,71.8,71.1,66.6,63.6,61.9,61.5,62,62.6,61.5,65.4,68.9,71.6,71.6,71.6
348,"HUN","Hungary",64.4,64.4,64.4,64.4,64.4,64.4,64.6,66.3,66.4,67.8,69.8,70,69.7,69.6,68.6,68.3,67.8,66.9,66.4,66.6,66.2,65.8,64.5,64.1,64.2,62.3,61.5,63.3,63.3,63.3
352,"ISL","Iceland",60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,62,63,62.8,61.5,57.5,53.2,51.8,49.6,48.9,49.6,52.7,57.9,62.2,65.5,67.1,65.5,63.8,62.8,62.8,62.8
356,"IND","India",62.9,62.9,62.9,62.9,62.9,64.6,65,65,65.4,65.8,66.5,66.8,66,64.3,62.8,62,61.1,59.5,59.2,59.2,60.5,62.3,64.3,64.5,64.6,64.2,63.3,61.5,61.5,61.5
360,"IDN","Indonesia",51.2,51.2,51.2,51.2,51.2,49.8,47.5,45.9,44.6,45.5,49.6,54.4,58.5,62.3,61.8,61.7,58.3,56.4,55.9,56.3,56.7,58.4,58.9,60.3,60.2,59.9,57.6,52.8,52.8,52.8
364,"IRN","Iran",40.9,40.9,40.9,40.9,40.9,40.5,41.6,45.2,48.7,48.3,48,48.5,52.1,54.4,52.4,52.2,51.7,51.1,50.3,49.1,47,45.8,45.7,44.2,43.3,45.4,48.8,51.3,51.3,51.3
368,"IRQ","Iraq",72.3,72.3,72.3,72.3,72.3,87.3,88.2,85,72,63.7,53.3,49.3,52.7,55.1,57.5,62.9,66.1,68.9,57.6,52.9,47.4,44.1,48,47.9,46.6,45.3,43.4,43,43,43
372,"IRL","Ireland",72.8,72.8,72.8,72.8,72.8,75.2,75.7,76.9,76.3,75.8,75.3,74.6,75,73,71.3,69.5,67.8,65.9,63.4,63.8,68.2,70.9,75.8,80.1,83.8,87.3,91,92.6,92.6,92.6
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,58.2,59.5,60.6,59.5,61.2,61.6,60.4,58.3,58.6,61.9,64.8,66.7,70.1,70.4,72.2,71.3,71.2,67.9,67.9,67.9
380,"ITA","Italy",54.3,54.3,54.3,54.3,54.3,54.3,55.1,55.4,54.6,54.7,53.9,54.3,55.1,55.5,56.6,57.6,59.7,60.9,61.8,63.1,62.5,62.1,62,61.2,61.5,60.2,58.3,56.7,56.7,56.7
388,"JAM","Jamaica",42.8,42.8,42.8,42.8,42.8,40.1,38.3,39.2,42.4,47.2,51,52.4,54.7,56.5,63.2,67.7,68.6,69.9,67.9,67.6,65.7,60.8,57.9,52.8,54.5,57.7,59.4,62.2,62.2,62.2
392,"JPN","Japan",51.7,51.7,51.7,51.7,51.7,52.1,53.5,54.1,54.5,54.2,54.1,54.7,54.9,56.5,56.7,56.8,55.8,53.5,51.4,51,51.8,53.6,55.2,58.6,61.8,64.3,64.6,63.4,63.4,63.4
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",53.7,53.7,53.7,53.7,53.7,53.7,54.8,54.4,55,53.6,53.1,53.6,54.7,57.7,60.9,63.8,65.5,63.9,61.9,57.6,52.7,49.9,47.1,47.2,48.5,53.3,56.4,57.1,57.1,57.1
398,"KAZ","Kazakhstan",69.1,69.1,69.1,69.1,69.1,73.6,77.5,77.9,76.7,74.6,70.3,66.4,64.4,61.1,62.4,59.6,62.9,63.8,64.4,63.7,62.8,61,59.1,56.9,58.3,58.3,61.1,62.6,62.6,62.6
404,"KEN","Kenya",52.4,52.4,52.4,52.4,52.4,52.2,54.5,55.8,56.1,55.6,56.2,58.1,53.9,49,44.2,42.9,43.4,45.8,49.3,52.6,57.2,62.5,63,62,58.8,53.8,51.9,51.6,51.6,51.6
296,"KIR","Kiribati",45,45,45,45,45,45.5,46.7,46.8,44.1,41.8,38.3,35.7,35.1,36.7,39.6,36.3,35.8,39.7,44,45.4,48.9,51.6,51.2,52,52.4,47.6,45.3,46.1,46.1,46.1
689,"XKX","Kosovo",69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,72,70.8,66.1,65.5,65.9,65.9,65.9
414,"KWT","Kuwait",52,52,52,52,52,52,52,56.1,56.6,56.2,56.8,59.3,60.5,63,61.1,57.6,55.1,50.2,50.9,54.3,52.3,49.2,48.7,48,44,38.6,35.6,32.3,32.3,32.3
417,"KGZ","Kyrgyzstan",77.5,77.5,77.5,77.5,77.5,78.3,80.7,79.5,76.4,71.1,68.7,64.9,61.8,56.1,55.1,55,56.4,50,46.7,43.8,42.7,45.2,48.5,48.7,55.2,59.9,62.7,61.2,61.2,61.2
418,"LAO","Laos",70.8,70.8,70.8,70.8,70.8,71.2,71.2,70,69,67.2,66.3,65.8,64.8,65.1,65.8,65,65.5,64.9,64,63.1,57.2,45.7,35.1,28.4,25.1,23,23.1,26.5,26.5,26.5
428,"LVA","Latvia",87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.1,84.3,82.5,79.9,73.8,65.9,59.3,55.3,52.2,51.1,52.1,55.1,60.1,64.8,66.9,64.5,62.9,63.9,63.9,63.9
422,"LBN","Lebanon",55.1,55.1,55.1,55.1,55.1,44.5,43.2,43.1,42,45.6,49.7,58.6,66.5,68.5,66.9,68.7,67.9,64.7,58.4,52.5,45.6,41.4,41.3,40.1,35.9,32.3,27.2,27.2,27.2,27.2
426,"LSO","Lesotho",64,64,64,64,64,60.9,59,57.5,56.3,56.1,55.7,57.5,59.2,63.6,61.6,60.7,56.4,54.6,58.1,60.4,63,66.6,65.4,66.3,65.3,65.9,58.2,47.3,47.3,47.3
430,"LBR","Liberia",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,36.3,46.4,58.4,61.5,61.7,61.3,59.2,56.1,57.8,51.5,45.7,41.5,38.9,38.9,38.9
434,"LBY","Libya",70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,72.1,69.9,56.4,54.9,53.7,41.3,33.4,30.7,38.1,45.9,45,46.5,34,34.6,34.6,34.6
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,82.7,80.6,78.5,75.8,71.5,67.3,63.2,59.4,59.6,60,60,61.2,62.9,66.5,68.1,67.4,66.8,67.6,67.6,67.6
442,"LUX","Luxembourg",93.7,93.7,93.7,93.7,93.7,94.4,91.4,84.4,74.3,61.9,54.5,48,47.5,51.1,55.3,59,62.3,64.5,67.1,67.7,67.8,69.4,72.1,72.6,71.7,73,72.2,72.9,72.9,72.9
446,"MAC","Macao",38.6,38.6,38.6,38.6,38.6,34.2,30.1,36.8,45.6,56.7,68.9,82,97.5,100,100,100,100,100,100,100,94.4,71.6,55.3,57.2,41,22.2,14.9,8.7,8.7,8.7
450,"MDG","Madagascar",53.2,53.2,53.2,53.2,53.2,57.7,62.1,63.4,63.5,65,62.8,62.1,60.7,60.6,58.4,56.6,57.3,55.7,54.3,54.9,53.2,53.2,53.6,58.1,59.5,57.6,57.2,56.9,56.9,56.9
454,"MWI","Malawi",63.2,63.2,63.2,63.2,63.2,62.6,62.1,56.8,53.3,48.9,47.8,47.8,49.6,51.4,55.4,58,60,59,57.6,56.8,55.3,53.2,51.3,46.8,44,39.2,36.1,32.8,32.8,32.8
458,"MYS","Malaysia",51.6,51.6,51.6,51.6,51.6,53.6,52.8,53.1,49.9,48.2,45.7,46.6,47.9,48,51.1,54,56.3,59.5,58.2,56.4,57,58.8,61.9,62.3,62,60.3,58.8,58.3,58.3,58.3
462,"MDV","Maldives",29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,28.3,29,31.4,40.7,41.2,42.5,43.9,38.3,44.3,42.6,41.7,41.2,43,44.8,42.7,34.7,38.6,43.6,43.6,43.6
466,"MLI","Mali",55.4,55.4,55.4,55.4,55.4,52.2,56.4,58.5,61.4,61.4,60.9,60.7,60.2,58.9,57.8,54.2,54.6,53.4,53.4,51.8,51.3,50.2,49.7,49.1,49.9,49,48.5,47.2,47.2,47.2
470,"MLT","Malta",70.4,70.4,70.4,70.4,70.4,75,77,78.5,71.6,66.9,66.4,64.3,61.8,60.6,59.4,63.9,64.2,64.2,66.1,68.5,80.6,93,100,100,100,100,98,88.3,88.3,88.3
584,"MHL","Marshall Islands",34.7,34.7,34.7,34.7,34.7,34.7,34.7,33.1,32.5,32.8,37.8,39.3,40.3,37.8,38,36.7,37,38,40.8,41.1,44.2,46.9,50.3,51.6,55.3,58,58.6,59.3,59.3,59.3
478,"MRT","Mauritania",48.9,48.9,48.9,48.9,48.9,43.8,38.2,34.7,34.6,36.1,42.5,51.9,57.7,63.8,66.4,65,62.4,58.5,55.8,52.9,50.7,52.3,52.8,55.3,56.1,54.6,53,52.2,52.2,52.2
480,"MUS","Mauritius",54.6,54.6,54.6,54.6,54.6,52.3,49.8,47.2,45.7,48.2,48.3,45.5,45.5,46.9,47.7,48.2,48.7,50.1,52.1,55.1,58.3,57.3,56,56,56.6,54.7,52.6,52,52,52
484,"MEX","Mexico",52.6,52.6,52.6,52.6,52.6,53.3,52.9,52.7,51.6,51.7,49.6,49,48.7,48.7,48,50.1,51.1,52.2,52.5,54.5,56.3,58.3,60.9,62.8,62.2,60.3,57.5,53.6,53.6,53.6
583,"FSM","Micronesia",23.4,23.4,23.4,23.4,23.4,23.4,23.4,36.4,50.6,65,73.3,78.5,75,71.7,62.2,61.3,58.7,55.7,48,41.1,39.9,40.7,39.6,42.1,38.6,43.2,44.9,46.1,46.1,46.1
498,"MDA","Moldova",100,100,100,100,100,100,100,100,100,100,95.7,83.5,78.3,72.7,70,70,69.6,68.8,67.8,67.6,66.8,65.6,63.4,62,62.1,59.2,58.3,55.9,55.9,55.9
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",55.4,55.4,55.4,55.4,55.4,61.1,63.4,65.8,69,74.6,77.2,77.4,74.1,71.4,64,55.2,45.5,36.5,30.4,35.8,43.8,48.1,47.5,48.4,47.6,50.7,52.3,50.8,50.8,50.8
499,"MNE","Montenegro",54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,55.7,54.7,64.3,63.9,62.8,61.1,59.7,57.3,57.6,58.8,60.1,57.4,62.1,55.6,54.3,54.6,54.6,54.6
504,"MAR","Morocco",51.5,51.5,51.5,51.5,51.5,51.5,52.9,53.6,54.7,55,52.7,53.6,53,54,55.2,55,55.4,55.7,58.2,58.6,58.2,58.4,57.7,57.1,55.9,52.6,49.8,48.4,48.4,48.4
508,"MOZ","Mozambique",78.3,78.3,78.3,78.3,78.3,82.6,86,83.7,81.3,79.3,73.8,71.6,72.2,70.5,74,75.6,75,72,67.9,62.6,58.8,57.4,56.2,52.9,55.7,58.7,59,58.4,58.4,58.4
104,"MMR","Myanmar",67.1,67.1,67.1,67.1,67.1,69.2,73.3,76.7,80.2,82.7,85.3,87.4,90.1,92.7,92.9,91.6,90.8,90.6,89.6,86.6,81.5,77.3,72.1,72,73,72.9,66.9,62.9,62.9,62.9
516,"NAM","Namibia",59.9,59.9,59.9,59.9,59.9,59.9,58.1,61.8,62.9,63.9,62.5,59.9,61.7,65,60.9,57.7,46.6,39.4,49.6,60.6,68.2,70.2,72.9,80.5,80.9,73.9,57.5,37.1,37.1,37.1
520,"NRU","Nauru",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89.2,83.9,68.2,66.2,65.1,61.5,60,63.5,63.5,63.5
524,"NPL","Nepal",61,61,61,61,61,60.7,61.3,62.2,62.3,63.8,63.2,63.1,63.1,62.7,60.8,59.9,58.9,58.3,57.1,56.5,57,55.3,54.6,54.1,55.2,54.6,54.3,55.8,55.8,55.8
528,"NLD","Netherlands",68,68,68,68,68,69.3,69,68.7,68.1,66.7,65.5,64.3,64.2,64.1,64.7,63.4,64.2,63.8,61.9,59.8,57.8,57,56.8,57.3,59.9,60.8,63.7,67.6,67.6,67.6
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",62.2,62.2,62.2,62.2,62.2,63.2,62.6,61.2,60.7,61,61.3,61.8,61.9,61.7,61.6,61.3,60.7,59.6,59,59.4,60.1,61.7,63.6,64.7,65.6,65.9,66.8,67,67,67
558,"NIC","Nicaragua",56.8,56.8,56.8,56.8,56.8,55.2,57.9,56.8,52.2,49.1,49.1,51.7,54,57.8,58.1,58.8,58.7,58.8,57.2,56.8,55.6,55.3,56.6,57.4,54.8,52.1,50.6,50.7,50.7,50.7
562,"NER","Niger",39.9,39.9,39.9,39.9,39.9,40.6,42.1,44.5,45.5,45.8,47.3,48.4,48.3,50.7,51.1,52.8,54.5,56.9,57.9,57.4,57.3,57.5,56.6,56.7,55.1,54.9,53.1,53.9,53.9,53.9
566,"NGA","Nigeria",25.8,25.8,25.8,25.8,25.8,32,40.1,56,69.2,77.5,82.5,84.6,88.2,91.8,95.6,91.8,84.3,82.4,78.2,74.4,70.5,66.7,64.1,62.2,61.5,59.3,56.2,55,55,55
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",45.4,45.4,45.4,45.4,45.4,46.4,53.5,59.5,63.3,65.6,67.1,65.3,65.3,63.2,64.5,66.7,65.9,66.5,67.4,68.9,70.5,72.4,71,71.4,70.2,67.9,62.5,57.1,57.1,57.1
578,"NOR","Norway",58.4,58.4,58.4,58.4,58.4,57.4,57,58.2,57.7,57.1,58.2,58.1,58.4,59,59.5,59.1,58.9,59.4,58.3,57.3,57,57.3,57.9,58.3,59.8,59.5,60,61.1,61.1,61.1
512,"OMN","Oman",48.6,48.6,48.6,48.6,48.6,46.4,42.5,39.6,34,31.3,28.4,26.1,25.6,31.7,38.7,43.5,48.5,51.5,48.6,49.3,50.3,50.8,49.8,50.6,55.9,55.9,53.1,50.7,50.7,50.7
586,"PAK","Pakistan",51.3,51.3,51.3,51.3,51.3,49.8,50.4,51,51.3,51.6,53.2,54.1,54.4,54.3,54,54.1,54.7,54.8,55.4,56.2,57.3,56.8,55.4,55.4,54.8,53.7,52.3,54,54,54
585,"PLW","Palau",53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,48.1,44.2,44.5,47.2,53.7,60.5,64.4,65.3,68.4,66,60.7,50.7,50.7,50.7,50.7
591,"PAN","Panama",54.3,54.3,54.3,54.3,54.3,55.2,52.1,50.2,50.7,53,55.4,56.2,61.8,65.8,67.7,69.3,65.9,66.6,65.9,67.5,67.2,67.1,68.7,72.2,68.5,62.4,57.7,57.2,57.2,57.2
598,"PNG","Papua New Guinea",49.7,49.7,49.7,49.7,49.7,38.9,30.3,22.8,21.9,22.9,24.2,30.5,36.3,30.5,44.1,57.5,67.9,75.6,80.8,78.8,73.7,67.2,60.6,50.3,46.3,48.1,48.1,51.9,51.9,51.9
600,"PRY","Paraguay",52.1,52.1,52.1,52.1,52.1,51.6,51.2,51,48.9,49.6,49.3,50.7,51.8,54.8,55.4,58,57.9,56.6,54.8,55.4,55.8,56.5,55.3,57.8,57.5,56.7,56.4,54.4,54.4,54.4
604,"PER","Peru",58.9,58.9,58.9,58.9,58.9,57,57.1,57.2,57,57.8,58.9,62.7,64.7,66.8,64.6,62.4,61.6,61.3,63,61.4,59.6,59.5,57.9,59,57.1,55.2,54.3,52.6,52.6,52.6
608,"PHL","Philippines",47.6,47.6,47.6,47.6,47.6,49.5,51.8,53.9,56.7,58.8,60.7,64.3,66.4,68.1,67.5,66.4,65.1,64,62.7,61.4,60.1,60.4,60.2,59.7,59.5,57.3,55.4,54.9,54.9,54.9
616,"POL","Poland",78.7,78.7,78.7,78.7,78.7,84,85.1,85.2,83.1,80.5,77.4,72.8,69.5,68.9,69.9,70.3,70.8,71.2,70.2,70.3,69.9,68,66.6,66.7,69.6,70.3,69.9,70.2,70.2,70.2
620,"PRT","Portugal",47.7,47.7,47.7,47.7,47.7,48.7,51.2,50.7,51.9,52.2,50.9,53.3,56.6,59.7,60.1,63.1,65.6,65,65.1,63.7,58.9,56.2,52.9,52.7,54.1,57,61.2,64.6,64.6,64.6
634,"QAT","Qatar",86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87.9,86.3,81.9,76,71.1,67.1,63.7,59.3,57.6,55.8,53.6,50.7,48,48,48
178,"COG","Republic of Congo",13.9,13.9,13.9,13.9,13.9,12.8,18.1,37.4,52.4,60.7,63.8,64.1,63.2,62,58.5,53.2,49.9,61.1,67.6,73.4,72.7,66.4,57.9,45.9,34.5,23.8,17.3,16.5,16.5,16.5
642,"ROU","Romania",72.7,72.7,72.7,72.7,72.7,73.2,73.5,72.1,70.5,70.9,71.5,71.7,70.5,71.7,76.7,77.7,76.6,75.3,73.7,72.7,71.7,70.8,69.5,69.9,73.1,73.1,71.2,70.2,70.2,70.2
643,"RUS","Russia",48.4,48.4,48.4,48.4,48.4,53,57.7,63.1,67.6,71.5,74,74.9,77.5,76.8,74.1,71.6,68.1,64.8,62.4,60.2,57.5,55.1,54.2,53.9,53.4,52.4,51.5,51.3,51.3,51.3
646,"RWA","Rwanda",49.5,49.5,49.5,49.5,49.5,61.9,73.8,89.8,100,92.2,87.9,82.1,73.3,73.5,70.9,70.3,70.6,72.9,72.2,71.4,70.1,69.4,67.7,67.2,66.9,63.9,63.3,64.6,64.6,64.6
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",52.8,52.8,52.8,52.8,52.8,52.4,51.8,49.5,47,44.5,47.1,51,52.9,56.1,56.1,56.9,57.8,58.3,57.7,56.4,57.9,60.1,59.4,61,60.2,56.5,52.1,51.2,51.2,51.2
662,"LCA","Saint Lucia",35.2,35.2,35.2,35.2,35.2,35.1,34.1,35.2,36.6,38.9,42.5,46.4,49.7,53.5,55.7,53.7,51.7,49.2,46.3,44.5,43.9,45.3,46.8,50,52.7,45.2,43.8,46.2,46.2,46.2
670,"VCT","Saint Vincent and the Grenadines",35.8,35.8,35.8,35.8,35.8,39.1,39.1,43.9,47.5,46.5,47.4,50.4,53.4,54.3,49.2,51.8,50.6,49.3,50.8,47.9,48.1,51.1,55.9,60.1,58.7,57.6,57.3,56.3,56.3,56.3
