"code","iso","country","NDA.ind.1995","NDA.ind.1996","NDA.ind.1997","NDA.ind.1998","NDA.ind.1999","NDA.ind.2000","NDA.ind.2001","NDA.ind.2002","NDA.ind.2003","NDA.ind.2004","NDA.ind.2005","NDA.ind.2006","NDA.ind.2007","NDA.ind.2008","NDA.ind.2009","NDA.ind.2010","NDA.ind.2011","NDA.ind.2012","NDA.ind.2013","NDA.ind.2014","NDA.ind.2015","NDA.ind.2016","NDA.ind.2017","NDA.ind.2018","NDA.ind.2019","NDA.ind.2020","NDA.ind.2021","NDA.ind.2022","NDA.ind.2023","NDA.ind.2024"
270,"GMB","Gambia",37.8,37.8,37.8,37.8,37.8,36.8,42,46.6,46.3,43.2,40.6,31.6,28.1,22.2,18.8,11.8,19.6,35.8,44.4,48.2,51.3,51.5,54.8,54.1,50.3,43.4,40.4,44.5,44.5,44.5
268,"GEO","Georgia",63.5,63.5,63.5,63.5,63.5,61,72.6,66.7,53.1,47.5,48.9,48.4,43.7,46.9,46.4,42.4,52.7,51.9,46.8,42.6,40.9,39.9,42.6,48.4,58.2,61.3,74.6,77.8,77.8,77.8
276,"DEU","Germany",100,100,100,100,100,100,100,100,100,100,100,100,78.6,74.3,72.4,69.2,70.8,70.2,65.6,57.7,53.7,52.6,52.9,57,62,66.8,76.1,85.7,85.7,85.7
288,"GHA","Ghana",22.5,22.5,22.5,22.5,22.5,17.2,25.7,36.3,41.5,52.2,50.8,47.5,47.4,38.8,39.3,28.4,26.5,30.6,26.6,33,25.7,21.4,19.4,21.5,26.4,25.1,27,30.4,30.4,30.4
300,"GRC","Greece",74.8,74.8,74.8,74.8,74.8,69.2,68.4,67.1,71.6,71.5,76,76.1,73.5,77,81.4,76.5,70.1,65.4,58.6,54.2,52.2,51.9,53.3,57.6,64.6,62.7,67.3,69.1,69.1,69.1
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",31.5,31.5,31.5,31.5,31.5,39.4,44.4,40.6,38.9,39.9,40.1,35.6,29.9,23.9,19.6,19.2,25.3,20.3,12.5,17.6,24.1,27.9,43.4,54.1,53.7,50.8,53.2,50.2,50.2,50.2
320,"GTM","Guatemala",24.4,24.4,24.4,24.4,24.4,28.5,30.5,30.9,25.9,22.2,17.6,17.9,18.1,25.6,25,24.5,22.5,23.6,22.1,22.5,20.3,20.4,20.8,28.2,32.8,33.1,32.6,32.2,32.2,32.2
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",40.1,40.1,40.1,40.1,40.1,40.2,34,22.6,13.8,7.8,0,0,0,0,8.7,18.4,22,15.8,14.3,18.9,18.1,10,9.1,12.3,15.4,18.4,22.9,22.2,22.2,22.2
624,"GNB","Guinea-Bissau",48.7,48.7,48.7,48.7,48.7,47.8,35.7,23.2,12.4,6.6,6.1,5.3,12.6,29.6,39,48.5,47.7,40.2,36.3,33.6,34.5,32.2,30.5,34.9,37.6,38.4,43.6,43.6,43.6,43.6
328,"GUY","Guyana",1.3,1.3,1.3,1.3,1.3,14.3,21.8,28.9,31.2,30.8,36,43.5,45.5,41.4,41.3,42.3,48.4,44.7,36.5,24.1,19.4,26.5,35.2,31.8,34.4,35.1,42.6,44.9,44.9,44.9
332,"HTI","Haiti",19.2,19.2,19.2,19.2,19.2,18.2,18,14.7,16.8,23,27.9,33.4,36.5,38,41.6,40.1,39,37.9,38,38.4,38,37.2,37,39,39.2,42,44.9,47,47,47
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",26.5,26.5,26.5,26.5,26.5,21.6,20.5,30.2,31.5,42.8,37,38,33.8,30.9,30.4,25.5,18.7,27.4,25.8,31.2,31.9,30.4,28.8,27.1,31.4,30.1,30.4,34.1,34.1,34.1
344,"HKG","Hong Kong",21.8,21.8,21.8,21.8,21.8,40.5,52,67.7,68.7,85.9,95.5,100,100,100,70.7,54.1,42.9,38.8,32.3,34.6,38.5,41.3,40.9,43.9,38.6,43.8,46.1,51,51,51
348,"HUN","Hungary",44.8,44.8,44.8,44.8,44.8,44.8,30.1,14.6,9.8,0,10.3,20,28.8,44.3,68.9,100,100,100,80.5,58.3,52.8,50.5,40.3,29.5,28.8,30.3,32.8,37.2,37.2,37.2
352,"ISL","Iceland",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,61.8,55,50.6,46,47.2,47.9,50.9,51.7,54.2,53.5,53,50.8,47,40.8,43,46,48.4,49.2,49.2,49.2
356,"IND","India",23.5,23.5,23.5,23.5,23.5,26.9,29.9,35.3,38.9,40,39.1,36,30.9,25.6,20.4,17.1,14.1,16.9,21.3,25.9,30,34.1,36.1,37.1,36.8,34.9,32.7,31.2,31.2,31.2
360,"IDN","Indonesia",31.2,31.2,31.2,31.2,31.2,34.2,38.3,37.8,40.2,39.7,37.3,32,29.8,26.4,23.9,24.3,24.1,22.1,25,25.1,27.6,30.5,29.3,26.6,25.1,25,23.8,21.3,21.3,21.3
364,"IRN","Iran",24,24,24,24,24,28.2,31.2,27.5,28.8,10,0.3,0,0,0,2.8,20.7,44.8,70.5,100,100,100,100,74,57.9,50.3,42.6,40.9,35.9,35.9,35.9
368,"IRQ","Iraq",17.6,17.6,17.6,17.6,17.6,16.1,21.7,21.5,41.2,51.1,54.7,62,62.5,57.6,53.5,51.5,28.5,0,0,4.2,15.5,25.4,35.5,43.1,37.6,34.3,31.3,24.7,24.7,24.7
372,"IRL","Ireland",40.7,40.7,40.7,40.7,40.7,40.3,42.8,47.9,51.4,56.5,64.2,73.1,82.4,83.3,79.4,78.1,75.1,68.3,60.9,55.5,51.7,48,44.2,43.3,42.8,45.5,48.1,47.9,47.9,47.9
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,41.6,42.7,38.9,42.3,48.5,56.8,65.7,64.8,62.3,58,53.5,49.2,40.4,39.6,41.7,44.9,45.9,42.7,42.7,42.7
380,"ITA","Italy",55.1,55.1,55.1,55.1,55.1,51.8,54.5,55.3,54.6,56.1,56.8,83.1,100,100,100,100,100,98.1,76.8,63.7,58.3,57.9,56.2,51.9,52.9,54.8,56.6,56.7,56.7,56.7
388,"JAM","Jamaica",22.6,22.6,22.6,22.6,22.6,26.4,31.4,36.1,36.5,41.6,46.1,57.5,71,92.7,100,100,100,86.9,71.6,62.1,64,65.9,63.1,52.8,51.3,53.7,54.2,51.8,51.8,51.8
392,"JPN","Japan",23.4,23.4,23.4,23.4,23.4,47.9,71.7,100,100,100,100,100,100,100,84.5,82.2,81.5,77.3,71.1,69.7,71.1,73.1,68.3,68.6,72.8,69.4,67.6,63.3,63.3,63.3
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",31.9,31.9,31.9,31.9,31.9,52.5,58.8,53,46.2,41.5,29.5,23,13.9,4.3,0,10.6,18.8,21.8,20.2,19.8,14.4,16.1,18.2,20.1,25.8,33.7,38.6,42.4,42.4,42.4
398,"KAZ","Kazakhstan",71.1,71.1,71.1,71.1,71.1,98.4,100,100,96.5,60,32.8,8.7,0,0,13.8,27.3,44.7,37.6,52.3,54.9,52.2,49.2,35.7,33.3,32.1,25.4,22.4,20.4,20.4,20.4
404,"KEN","Kenya",53.6,53.6,53.6,53.6,53.6,52.2,52.2,49.6,44.8,37.6,32.8,33.6,12.9,0,0,0,0,0,0,7,22.6,40.3,39.5,37.7,31.5,19.7,16.2,13.2,13.2,13.2
296,"KIR","Kiribati",30.4,30.4,30.4,30.4,30.4,24.3,19.4,8.8,1.5,0,0,0,0,0,10,16.2,24.8,28,32.6,38.3,40.2,40.2,37.5,34.8,35.4,36.3,37,37.8,37.8,37.8
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,6.6,15.7,21.4,24.5,26.4,23.5,13.2,14.8,18.5,20.9,20.5,24.2,22.5,22.2,24.1,25.5,22.9,25.3,27.5,29.9,29.9,29.9
417,"KGZ","Kyrgyzstan",76.1,76.1,76.1,76.1,76.1,79.5,82.2,88.1,63.5,47.1,41.5,38.3,35.9,32.6,25.8,21.5,17.2,18.9,14.9,13.8,17.6,23.5,30.5,34.3,34.3,35.4,37,35.2,35.2,35.2
418,"LAO","Laos",36.4,36.4,36.4,36.4,36.4,41.4,44.3,42.6,41.5,35,27.7,23.9,14.5,14.1,16.8,14.6,17.9,14.7,14.3,11.8,9.9,10.3,11.3,16.9,19.4,16.9,23.3,24.4,24.4,24.4
428,"LVA","Latvia",44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,43,40.7,38.2,34.6,32.9,33.6,34.1,34.7,34.3,34.8,33.8,34.6,35.4,38.3,39.6,41,43.4,43.5,43.5,43.5
422,"LBN","Lebanon",0,0,0,0,0,0,5.3,19.3,27.4,39.8,48,60.2,68.7,63.1,52.2,48.8,37.1,23.9,11.5,0,0,0,0,3.9,13.9,27.4,38.2,38.2,38.2,38.2
426,"LSO","Lesotho",41.7,41.7,41.7,41.7,41.7,35.5,32.9,35.4,36.8,41.3,43.3,46.6,46.8,63.6,55.9,51,45.7,49,56.1,73.9,78.1,83.7,72.7,76.4,81.7,91.5,75.8,60.9,60.9,60.9
430,"LBR","Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,16.8,27.2,18,20.9,29.9,35.2,35.2,35.2
434,"LBY","Libya",18,18,18,18,18,18,18,18,18,18,18,18,18,18,9.8,7.2,16.2,19.7,24.6,30.8,39.8,45.4,49.2,51.3,51,50.5,50.6,46.5,46.5,46.5
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",24,24,24,24,24,24,24,24,24,24,26.6,26.9,22.8,21.9,27.6,32.7,33.7,33.5,38.1,40,39.2,42.3,38.9,39.7,43.9,49.8,51.3,55.5,55.5,55.5
442,"LUX","Luxembourg",50.4,50.4,50.4,50.4,50.4,67.2,80.3,63.1,53.3,42.9,35.6,30.5,27.7,25.3,22.8,36.5,51.8,58.4,66.5,63.4,63,63.1,64.9,66.8,69.7,76.1,74.8,78.6,78.6,78.6
446,"MAC","Macao",0,0,0,0,0,6.3,20.4,31.3,39.4,39.7,43.1,40.5,35,32.3,24.4,33.4,34,32.8,42.1,45.5,33.9,22.6,8.8,8,5.4,22.1,28.6,31.9,31.9,31.9
450,"MDG","Madagascar",47.5,47.5,47.5,47.5,47.5,51.4,59.9,76.8,75.9,83.5,61.4,53.9,44.2,37.9,31,28,28.5,36.1,38.1,48.5,46.2,45.4,42.9,50.6,54.9,61,70,75,75,75
454,"MWI","Malawi",40.4,40.4,40.4,40.4,40.4,37,36,25,12,16.4,16.4,10.3,2.8,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
458,"MYS","Malaysia",9.8,9.8,9.8,9.8,9.8,7.9,12.9,10.4,4.5,0,0,0,0,0,2.9,6.2,15.3,21.6,29.1,31.1,34.3,40.2,45.8,51.3,83.3,90.9,81.7,64.3,64.3,64.3
462,"MDV","Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,18.5,28.8,28.3,28.3,28.3
466,"MLI","Mali",23.4,23.4,23.4,23.4,23.4,17.2,17.6,18.9,21.4,19.4,19.6,19.4,21.3,19.9,18.2,15.2,18,21.5,25.6,24.3,22.6,17,15,12.3,11.2,8.2,7.6,7.8,7.8,7.8
470,"MLT","Malta",39.8,39.8,39.8,39.8,39.8,46,50.1,62.2,60.4,61.6,51.9,51.5,49.1,45.7,50.9,58.1,64.6,77.8,89.2,100,100,100,100,100,100,100,94.1,79.7,79.7,79.7
584,"MHL","Marshall Islands",54.4,54.4,54.4,54.4,54.4,42.8,36.1,32.3,29.9,28.9,28.1,27.6,26.8,25,23.2,10.2,7.8,7.6,9.5,13.7,19,25.3,30.8,33.6,33.3,27.5,27.9,28.3,28.3,28.3
478,"MRT","Mauritania",19.9,19.9,19.9,19.9,19.9,11.6,4.5,4.9,7.6,15.6,26.2,30.5,35.9,45.1,46.8,42.4,39.5,37.4,35.1,35.5,33.4,30.1,27.8,33.2,35,34.6,35.9,36.2,36.2,36.2
480,"MUS","Mauritius",33.1,33.1,33.1,33.1,33.1,34.2,44.8,48.9,54.8,59.8,59.7,59.5,58.4,60,57,53.5,54.8,47.3,45.5,39,39.4,37,34.8,37.8,41.9,52,55,51.6,51.6,51.6
484,"MEX","Mexico",0,0,0,0,0,0,0,0,0,11.1,14.7,20.8,21.5,20.7,17.9,18,17.5,19.8,22.2,26.7,31.6,36.5,40.3,44.3,45.4,44.4,41.4,38.2,38.2,38.2
583,"FSM","Micronesia",0,0,0,0,0,0,0,0,0,49.9,50,50,49.2,48.5,45.3,43,38.1,34.6,31,29.3,28.6,29,31.4,35.1,36.5,38.8,38,37.9,37.9,37.9
498,"MDA","Moldova",92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,80.9,65.3,55.5,51.3,63.6,75.5,55.4,50.5,43.4,31.7,27.2,19.8,13.4,3.6,12.3,22.6,22.2,29.6,29.6,29.6
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",35.9,35.9,35.9,35.9,35.9,33.2,36,43.8,51.4,64.8,72.6,69.6,54.1,44.9,35.6,32.5,29.3,28.5,28.3,27.7,24.8,20,11.5,6.1,0.8,10.4,18,23.4,23.4,23.4
499,"MNE","Montenegro",38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,23.5,21.7,30.1,39.1,45.6,52.9,69.8,71.8,68.3,58.1,46.1,42.5,42.8,44.6,49.5,51.5,51.5,51.5
504,"MAR","Morocco",41.5,41.5,41.5,41.5,41.5,31.2,22.8,19.1,20.6,18.2,20.8,18.1,22.2,26.4,31.1,35.1,37.2,41.6,41.8,41.8,37.4,39.1,35.8,34.3,37.6,40.2,36.9,39.3,39.3,39.3
508,"MOZ","Mozambique",47.8,47.8,47.8,47.8,47.8,53.4,52.8,46.5,39.9,36.5,29.4,28.2,32.5,25.9,31.3,37.3,44.8,45.3,43.4,44.8,45.2,54,65.9,53.9,56.3,51.2,51.1,46.9,46.9,46.9
104,"MMR","Myanmar",25.5,25.5,25.5,25.5,25.5,24.2,27.1,31.1,32.7,30.2,29,26.5,24.2,23.4,21.1,18,18,20,19.8,16.4,16.9,16.3,10.7,33.4,50.1,63.3,81.7,92.3,92.3,92.3
516,"NAM","Namibia",59.2,59.2,59.2,59.2,59.2,48.1,44.9,49.7,51.1,48.1,43.9,30.1,28.7,40.3,28,17.6,0,0,0,33.9,67.5,80.6,96.6,100,100,100,100,23.7,23.7,23.7
520,"NRU","Nauru",37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,38,41.7,45.2,46.6,50.3,52.7,55.5,56.9,57.9,57.9,57.9
524,"NPL","Nepal",29.8,29.8,29.8,29.8,29.8,30.7,32.2,37.1,42.1,44.8,45.9,45.4,44.4,40.6,35.4,29.9,23.6,20.9,18.3,15.6,15.7,15.6,18.6,20.4,21.6,22.6,23.9,27,27,27
528,"NLD","Netherlands",52.9,52.9,52.9,52.9,52.9,59.6,69.1,76.8,67.8,57.3,50.8,39.2,33.6,53.9,72,93.5,100,100,100,88.5,63.2,36.7,12.3,18.8,28.3,39.6,57.7,61.9,61.9,61.9
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",50.3,50.3,50.3,50.3,50.3,49.6,49.3,48.8,47.8,45.6,41.9,41.3,42.1,46.5,50.5,55.2,59.6,60.8,58,53.5,50.3,48.5,46.9,46.8,48.5,49.8,51.9,54.1,54.1,54.1
558,"NIC","Nicaragua",48.3,48.3,48.3,48.3,48.3,35.8,36.5,30.1,16.9,11.9,9.1,12.7,17.1,26,28.9,32.2,33,29,23.6,21.1,15.2,11.3,10.8,15.8,20.5,25.2,28.2,30,30,30
562,"NER","Niger",8.4,8.4,8.4,8.4,8.4,8.6,8.2,7.8,7.5,8.5,8.4,8.1,8.4,7.1,5.9,8.8,11.5,12.7,13.1,13.2,12.6,11,8.8,5.3,2,1.6,3.1,3.7,3.7,3.7
566,"NGA","Nigeria",21.1,21.1,21.1,21.1,21.1,20.6,21.8,23.6,24.2,26.3,26.8,27.5,29.8,29.3,31.2,29.8,29,28.4,26.4,25.9,24,21,20.1,20.1,23.5,25.9,28.5,30,30,30
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",72,72,72,72,72,66,82,100,100,100,100,94.1,72.3,60.4,54.9,49.9,49.8,59.6,68.3,63.3,59.6,51.5,47.3,47.4,53.3,54.2,63,79.2,79.2,79.2
578,"NOR","Norway",48.4,48.4,48.4,48.4,48.4,46.7,45.5,51.6,54.3,55.5,54.2,57.3,65.1,75.4,89.3,98.3,100,96.1,86.2,72.3,57.1,50,45.1,44.1,48.8,49.5,47.7,47.8,47.8,47.8
512,"OMN","Oman",3.3,3.3,3.3,3.3,3.3,12.2,16.1,20,24.3,25.8,25.4,23.2,18.8,13.7,10.5,10.8,9,7.4,3.1,0.8,0.7,1.9,2.5,4.2,10.3,16.9,21.7,25.2,25.2,25.2
586,"PAK","Pakistan",15.2,15.2,15.2,15.2,15.2,16.4,20.5,22.8,25.3,26.9,23.9,21.2,20.1,19.7,15.5,15,16.4,21.2,24,27.7,30,29,26,23.7,16.3,12,8.3,9.2,9.2,9.2
585,"PLW","Palau",98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,71,24.5,0,11.6,38.2,61.7,94.4,100,100,100,100,100,100,100,100
591,"PAN","Panama",44.4,44.4,44.4,44.4,44.4,49.7,49.5,46.6,40.8,39.9,39.4,35.3,38.6,37.3,37,40.1,38.2,35,30,32.7,36.8,41.2,48.4,52.4,53.9,52.2,47.2,40.9,40.9,40.9
598,"PNG","Papua New Guinea",31.3,31.3,31.3,31.3,31.3,29.8,28.6,26,25,22,22.2,24.7,27.8,36.3,42.8,48.9,59.2,63.9,63.3,50.7,45.3,43.3,42.8,39.7,38.9,40.5,45.1,47.9,47.9,47.9
600,"PRY","Paraguay",30.9,30.9,30.9,30.9,30.9,35.8,36.6,40.1,35.9,37.4,32.1,32.3,26.5,27.8,27.4,30.6,24.9,23.3,14.2,13.9,14.8,18.5,13,21.3,29.7,30.4,33.6,38.6,38.6,38.6
604,"PER","Peru",19.2,19.2,19.2,19.2,19.2,15,16.4,20.2,24.5,28.8,31.7,33.9,34.7,36.5,33.7,32.4,32.3,32.5,33.2,35.4,37.8,40.1,39.4,43.4,40.9,41.1,38.6,36.6,36.6,36.6
608,"PHL","Philippines",18.9,18.9,18.9,18.9,18.9,17.7,22.5,29.3,31.2,31.7,35.7,39.3,36.9,43.6,46.3,45.1,46.8,51.8,50,43.2,40.3,38.2,30.3,30.6,30.4,26.2,27.6,30.5,30.5,30.5
616,"POL","Poland",46.8,46.8,46.8,46.8,46.8,45,46.4,49.8,50.4,50.8,48.5,46.3,41.2,40.6,42.7,43.3,44.5,45.8,48,51.1,52.1,50.2,46.7,46.8,48.7,50.1,50.6,49.6,49.6,49.6
