"code","iso","country","FGA.ind.1995","FGA.ind.1996","FGA.ind.1997","FGA.ind.1998","FGA.ind.1999","FGA.ind.2000","FGA.ind.2001","FGA.ind.2002","FGA.ind.2003","FGA.ind.2004","FGA.ind.2005","FGA.ind.2006","FGA.ind.2007","FGA.ind.2008","FGA.ind.2009","FGA.ind.2010","FGA.ind.2011","FGA.ind.2012","FGA.ind.2013","FGA.ind.2014","FGA.ind.2015","FGA.ind.2016","FGA.ind.2017","FGA.ind.2018","FGA.ind.2019","FGA.ind.2020","FGA.ind.2021","FGA.ind.2022","FGA.ind.2023","FGA.ind.2024"
120,"CMR","Cameroon",42.5,42.5,42.5,42.5,42.5,40.1,40.8,40.2,38.5,33.2,29.6,26.5,21.7,24.5,29.3,35,44.5,52.4,58.7,55.7,52.1,44.8,34.3,25,17.4,11.4,7.7,7.7,7.7,7.7
124,"CAN","Canada",55.4,55.4,55.4,55.4,55.4,57.2,58.8,58.3,58.1,55.9,57.7,55.2,48.4,44.3,41.9,41.5,42.9,42,43.7,43.5,47.7,47.2,42,39.7,39.5,40,40.3,41.4,41.4,41.4
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,19,29.5,36.8,39.6,37.4,32.6,26.9,20,13,7.7,4.3,3.8,3.8,3.8
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18.8,29.3,36.7,39.6,37.3,32.6,26.9,19.9,12.9,7.7,4.4,3.8,3.8,3.8
152,"CHL","Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,14.8,7.5,0,0,0
156,"CHN","China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,10.8,11.6,12.2,10.4,14,23.6,30.2,33.9,35.6,36.3,36.3,36.3
170,"COL","Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.8,29.2,36.4,39.4,37.2,32.5,27,20.3,13.5,8.4,5.2,4.6,4.6,4.6
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,19.1,29.4,36.7,39.7,37.5,32.8,27.1,20.3,13.4,8.1,4.8,4.2,4.2,4.2
384,"CIV","Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.4,36.8,39.7,37.5,32.7,26.9,19.9,12.9,7.6,4.3,3.7,3.7,3.7
191,"HRV","Croatia",81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,78.3,66.6,51.4,48.5,48.6,42.5,37.7,34.9,30.5,27.8,26.8,27.6,29,32.7,38.9,41.3,43.1,46,46,46
192,"CUB","Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,19,29.5,36.8,39.7,37.5,32.6,26.9,19.9,12.9,7.6,4.4,3.8,3.8,3.8
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0.9,3.2,5.8,8.4,10,12.9,15.7,18.5,21.5,24.3,27.2,29.4,31.7,33.5,33.5,33.8,33.8,33.8
203,"CZE","Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14.1,20.5,23.3,25.4,29.6,32.4,34.5,36.3,36.3,36.3
180,"COD","Dem. Rep. Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,19,29.5,36.8,39.7,37.4,32.6,26.9,19.9,12.9,7.6,4.3,3.8,3.8,3.8
208,"DNK","Denmark",0,0,0,0,0,0,0,0,0,6.2,15.1,21,29.6,35.4,36.9,40.3,46.3,50,54.3,58.4,66.1,69.3,74.2,72.9,73.6,77,79.8,80.4,80.4,80.4
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",0,0,0,0,0,0,5.7,40.9,66.4,77.2,82.2,95.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
214,"DOM","Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,19,29.5,36.8,39.7,37.4,32.5,26.8,19.8,12.8,7.6,4.3,3.8,3.8,3.8
218,"ECU","Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,19,29.5,36.8,39.7,37.5,32.7,26.9,19.9,12.8,7.6,4.3,3.8,3.8,3.8
818,"EGY","Egypt",39.9,39.9,39.9,39.9,39.9,33.6,21.3,8.6,0,0,0,0,0,0,9.6,18.1,25.7,32,36.7,38.6,37,33.3,29.3,23.5,18.1,13.9,11.2,10.6,10.6,10.6
222,"SLV","El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.4,36.9,39.7,37.4,32.6,26.9,20,12.9,7.6,4.3,3.7,3.7,3.7
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.7,37.5,32.6,26.9,20,12.9,7.6,4.3,3.7,3.7,3.7
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,16,19.9,21.4,24.5,27.9,29.8,31,29.7,28,31.7,36.9,41.3,45.9,49.1,49.1,49.1
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.4,36.8,39.7,37.4,32.6,26.9,19.9,13,7.7,4.4,3.8,3.8,3.8
246,"FIN","Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,13.4,19,27.6,35.8,41.2,45.5,49.7,52,54.6,56.5,58.3,60.7,62.8,64.5,64.5,64.5
250,"FRA","France",53.7,53.7,53.7,53.7,53.7,66.2,74.6,79,80.7,80.4,77,68.1,52.9,38.3,35.2,35.2,35.3,35.8,36.2,38.8,41.9,44.5,47.5,51.8,58.2,64.3,69.2,73.3,73.3,73.3
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18.8,29.4,36.7,39.7,37.5,32.6,26.9,19.9,12.9,7.7,4.2,3.8,3.8,3.8
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,33.2,56.7,71.2,78.8,80.1,71.5,53.5,25.8,35.5,32.8,19.7,19.7,19.7
276,"DEU","Germany",19.6,19.6,19.6,19.6,19.6,19.3,27.2,39.7,49,55.7,61,64.1,63.3,63.6,64.3,58.5,56,55.3,54.1,52.1,50.6,48.7,45.7,46.2,49.2,51.4,53.8,55.7,55.7,55.7
288,"GHA","Ghana",84.9,84.9,84.9,84.9,84.9,76.8,71.9,59.4,46.3,33.5,22.1,9.3,0,14,17.5,17.3,25.3,30.4,37.6,40.8,39.1,33.4,27.7,20.7,13.6,8.3,4.7,4.1,4.1,4.1
300,"GRC","Greece",64.1,64.1,64.1,64.1,64.1,55.6,51.2,40,30.2,16.2,0.4,0,0,0,0,0,3.6,7.6,14.3,18.4,22.2,25.6,27.3,31.9,39.2,46.4,53.3,58,58,58
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",25.1,25.1,25.1,25.1,25.1,25.7,16.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.9,12.6,17.3,20.3,20.3,20.3
320,"GTM","Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,19,29.6,36.9,39.8,37.5,32.6,26.8,19.9,12.9,7.6,4.3,3.8,3.8,3.8
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,18.8,29.4,36.8,39.7,37.5,32.6,26.9,19.9,12.9,7.6,4.3,3.8,3.8,3.8
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,19,29.5,36.8,39.6,37.4,32.6,26.8,19.9,13,7.7,4.4,3.8,3.8,3.8
344,"HKG","Hong Kong",99,99,99,99,99,91,81,70.1,61.8,57.7,59.8,59.7,58.8,58.3,55.2,49.6,43.7,38.5,34.4,32.3,32.9,33.5,34.2,34.9,35.4,35.9,36.2,36.8,36.8,36.8
348,"HUN","Hungary",28.6,28.6,28.6,28.6,28.6,28.6,11.5,11.2,7.7,1.4,0,0,0,0,0,0,0,7.9,14.6,16.4,18,19.7,21.6,23.6,26.2,29,30.9,33.7,33.7,33.7
352,"ISL","Iceland",0,0,0,0,0,0,0,0,0,0,14.3,30.1,32.2,25.8,22.2,16.9,15.9,15.7,18.3,25.5,37.7,48.7,48.6,50.6,51.8,50.2,47,45.8,45.8,45.8
356,"IND","India",51.4,51.4,51.4,51.4,51.4,42.6,33.7,25.6,15.9,10.5,18.9,28.4,34.4,33.2,28.8,19.9,11.3,2.6,0,0,0,0,0,3.7,8.6,12.4,15.6,18.3,18.3,18.3
360,"IDN","Indonesia",49,49,49,49,49,41.4,31.5,18.6,4.9,0,0,0,0,0,3.5,13.2,23.3,31.7,37.4,40,38.5,34.7,29.5,23,16.9,12,9,8.5,8.5,8.5
364,"IRN","Iran",58.1,58.1,58.1,58.1,58.1,50.9,36.1,18.7,2.8,0,0,0,0,0,6.8,16.1,24.8,31,35,37.4,36.3,33.6,29.9,25.1,20.5,16.9,14.5,14,14,14
368,"IRQ","Iraq",35.1,35.1,35.1,35.1,35.1,19.4,0.3,0,0,0,0,0,0,0,0.2,12.2,22.2,30.6,36.7,39,37,32.5,27.2,20.7,14.2,9.3,6.1,5.5,5.5,5.5
372,"IRL","Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,24.5,29.5,35.9,45.2,48.5,50.9,49.1,46.6,45.8,50.9,56.1,64.4,72.6,80.9,80.9,80.9
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",0,0,0,0,0,0,0,0,0,0,0,17.2,39.6,25.6,26.2,13.7,0,0,0,0,0,0,0,0,0,6.2,10.3,14.6,14.6,14.6
380,"ITA","Italy",41.1,41.1,41.1,41.1,41.1,45.1,51.3,62.2,73.2,87.4,92.5,92.2,89.4,81.9,70.3,56.3,42.6,33.1,23.9,25.4,28,28.8,31.4,32.9,35.5,37.8,39.3,40.5,40.5,40.5
388,"JAM","Jamaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,10.5,18.7,24.8,30.6,34.2,37.1,40.3,37,33.2,29.4,26,23.8,24,24,24
392,"JPN","Japan",23.2,23.2,23.2,23.2,23.2,39.4,58.7,74.6,85,89.8,89,82.8,74.1,65.2,64.6,62.6,63.7,64.1,62.5,58.9,54.6,48.2,41.9,38.2,39.6,39.6,40.3,40.6,40.6,40.6
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,18.9,29.5,36.7,39.5,37.5,32.6,26.8,19.9,12.9,7.6,4.3,3.8,3.8,3.8
398,"KAZ","Kazakhstan",8.1,8.1,8.1,8.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,25.9,29.9,39.2,41.2,44.3,43.8,43,41.9,41.9,41.9
404,"KEN","Kenya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,12,17.4,19.9,22,23.2,23.3,24,24.2,24.2,24.2
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,20,29.5,36.2,38.9,37,32.5,27.4,20.9,14.5,9.6,6.4,5.8,5.8,5.8
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13.3,22,26.6,31.2,34.7,38.6,41.3,44.7,48.1,48.1,48.1
422,"LBN","Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.8,29.4,36.6,39.5,37.3,32.5,26.8,19.9,13,7.8,4.5,4.5,4.5,4.5
426,"LSO","Lesotho",47.1,47.1,47.1,47.1,47.1,47.1,47.2,47.2,47.2,47.2,47.2,47.2,47.3,47.3,47.4,47.4,47.4,42,35.2,27.2,14.6,1.1,0,0,0,0,0,0,0,0
430,"LBR","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,"LBY","Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,19.6,28.8,35.2,37.9,36.2,32.4,27.8,22,16.2,11.9,9.1,8.6,8.6,8.6
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,20.4,35.1,45.8,45.8,45.8
442,"LUX","Luxembourg",0,0,0,0,0,0,0,0,0,0,3.1,10.7,16.8,22.6,28.4,32.2,31.8,30.2,29.7,29,31.2,34.2,36.4,39.8,43.6,47.4,50.6,53.2,53.2,53.2
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.7,37.5,32.6,26.9,19.9,12.9,7.6,4.3,3.8,3.8,3.8
454,"MWI","Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.4,36.8,39.8,37.5,32.6,26.8,19.8,12.8,7.6,4.4,3.8,3.8,3.8
458,"MYS","Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.4,14.2,14.7,19.8,20.8,16.4,10.6,22.9,32.9,36.7,38.2,38.6,43.5,43.5,43.5
462,"MDV","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.8,37.6,32.7,26.9,19.9,12.9,7.6,4.3,3.8,3.8,3.8
470,"MLT","Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.6,16.8,25,34,40.8,44.7,44.7,44.7
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,18.9,29.4,36.7,39.7,37.5,32.7,26.9,19.9,12.9,7.7,4.3,3.8,3.8,3.8
480,"MUS","Mauritius",0,0,0,0,0,0,0,0,0,0,57.9,28.3,0,0,0,0,0,0,0,0,17.6,20.2,20.7,21.8,22.7,23.2,23.6,24.4,24.4,24.4
484,"MEX","Mexico",10.8,10.8,10.8,10.8,10.8,5.9,3.4,8.3,8.5,15.9,23,7.1,0,0,0,0,0,0,0,9.6,22,28.9,30.6,30,29.1,26.7,24.2,24.9,24.9,24.9
583,"FSM","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6.6,11.2,15.6,18.3,20.9,23.3,23.3,23.3
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,5,5,5
499,"MNE","Montenegro",48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,41.4,54.3,78.2,92.1,100,100,100,100,100,100,80,61.3,52.9,42.5,29.8,20,20,20
504,"MAR","Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,18.9,29.5,36.8,39.7,37.4,32.6,26.8,19.8,12.7,7.6,4.3,3.8,3.8,3.8
508,"MOZ","Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,48.1,63.1,70.4,69.9,68.8,64.6,50.2,42.9,37.6,31.9,25.4,22.5,22.5,22.5
104,"MMR","Myanmar",7,7,7,7,7,0,0,0,0,0,8.7,20.9,28.9,33,32.5,26,27.2,28.1,26.1,16.3,18.1,22,23,24.7,27.5,27.4,27.7,27.8,27.8,27.8
