"code","iso","country","GHI.ind.1995","GHI.ind.1996","GHI.ind.1997","GHI.ind.1998","GHI.ind.1999","GHI.ind.2000","GHI.ind.2001","GHI.ind.2002","GHI.ind.2003","GHI.ind.2004","GHI.ind.2005","GHI.ind.2006","GHI.ind.2007","GHI.ind.2008","GHI.ind.2009","GHI.ind.2010","GHI.ind.2011","GHI.ind.2012","GHI.ind.2013","GHI.ind.2014","GHI.ind.2015","GHI.ind.2016","GHI.ind.2017","GHI.ind.2018","GHI.ind.2019","GHI.ind.2020","GHI.ind.2021","GHI.ind.2022","GHI.ind.2023","GHI.ind.2024"
64,"BTN","Bhutan",41.6,41.3,41.2,42.8,43.9,45,47.7,49.6,51.9,54.3,53.1,54.2,57.7,57.9,60.4,61.3,59.7,59.7,58.7,58.6,59.6,59.1,59.2,58.6,59.8,58.4,61.7,61.7,61.7,61.7
68,"BOL","Bolivia",35.2,35.9,34,36.9,36.7,39.4,40.1,37.9,38.1,37.7,37,38.5,39.2,40.3,40.9,39.2,40.3,40.3,41.2,41.8,42.6,42.7,43.5,44.5,44.6,44,43.7,44.4,44.4,44.4
70,"BIH","Bosnia and Herzegovina",37.1,50.6,44.8,42.9,44.5,42.2,43.8,43.4,44.2,43.4,43.9,43.4,44.5,43.8,42.7,42.5,40.2,41.5,42.5,44.2,46,43.7,44.1,44.9,47,46.1,49.2,50.3,50.3,50.3
72,"BWA","Botswana",34.6,34.6,37.5,38.2,41,41,36.1,37.1,53,52.4,50.2,48,52.5,39.2,51.4,34.5,31.6,46.1,50,53.8,55.7,57.3,51.6,55,60.3,55.3,45.9,47.2,47.2,47.2
76,"BRA","Brazil",52.6,53,52.9,52.2,51.9,52.4,52.1,52.1,51.7,51.9,52.5,53.4,54,54.8,55.4,55.2,55.7,55.3,55.4,54.7,54.3,54.1,54.2,55.1,55.2,54.6,54.4,55.2,55.2,55.2
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",49.9,50.5,49.5,50.4,49.4,50.6,50.6,53.5,51.5,52.2,53,48.9,47.7,43.5,47.1,48,45.9,46.4,49.6,47.3,50.7,49.3,46.3,45.8,45.3,45.2,45,45.5,45.5,45.5
100,"BGR","Bulgaria",39.2,40.2,37.5,39.6,40.2,41.7,41.2,43.7,43.2,45.1,46.5,47.8,47.8,49.7,52,51.7,49.9,52.2,54.3,53.4,52.8,54.5,54.1,56.2,57.8,59.2,58.3,57.5,57.5,57.5
854,"BFA","Burkina Faso",23,24.4,24.9,26.3,27.9,26.6,28.9,29,26.6,26.8,28.1,29.6,29.8,30.3,30.3,31.2,32.4,33.4,33.9,34.5,34.4,34.7,35.4,36.3,36.9,36.9,37.7,37.5,37.5,37.5
108,"BDI","Burundi",46.1,43.8,42.9,44.4,44.7,43.7,44,44.9,44.3,44.2,43.7,43.8,43.7,43.9,44,43.1,42.7,43.4,41.7,42.7,41.6,39.6,37.3,36.8,38.3,37.8,37.4,37.5,37.5,37.5
132,"CPV","Cabo Verde",55.5,58.3,59.2,60.2,60,62.5,61.1,60.9,61.5,62.8,63.4,63.6,66.1,68.4,66.5,65.8,65.1,67.9,68.1,68.3,68.3,68.9,69.7,69.7,70.4,67.2,67.3,70.2,70.2,70.2
116,"KHM","Cambodia",18.1,19.2,20.1,20.9,22.6,26.3,27.9,29.2,29.5,32.2,33.8,34.9,36.5,37.6,36.4,37.4,38.2,40.2,42,43.1,43.5,43.4,43,43.6,42.9,41.7,41.9,43.2,43.2,43.2
120,"CMR","Cameroon",37.4,36.8,38.3,38.5,39.5,38.8,40.7,42.2,42.2,44.9,44.4,46.4,46.3,47.1,47,47.9,49.2,50.2,50.3,50.3,49.5,50,51.9,52.5,52.8,52.3,52.9,54.1,54.1,54.1
124,"CAN","Canada",44.1,43.8,44.4,45,45.8,46.3,47,47.4,47.3,48,49,49.7,49.2,50.1,50.8,51,51.3,51.6,52,52.5,52.6,53.3,53.7,53.9,54.3,55.2,55.8,56,56,56
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,3.9,6.7,6.2,5.6,5.9,5.9,7.8,6.5,7.3,7.7,8.3,6.8,3.4,1.6,0.7,0.6,0,0,0,0,0
152,"CHL","Chile",56.5,55.6,55,55.6,54.2,56,58,58.2,59.1,59.2,60,60.5,60.1,60.6,61.5,61.9,61.3,62,62.7,63.9,63.6,63.5,63.6,64.1,62.9,63.5,64.1,65.2,65.2,65.2
156,"CHN","China",19.3,20.9,23.4,26.2,26.9,28.5,30,30.4,29.3,29.8,29.8,30.7,32.6,33.5,34.7,35.2,35.2,36.5,37.9,39.5,41.5,43.4,44.5,45.3,46,46,47.1,47.6,47.6,47.6
170,"COL","Colombia",53,53.4,53,52.8,54,54,54,54.5,54.8,56.3,56.4,57.4,58.7,58.4,57.8,58,59.7,60.4,60.6,60.3,61.3,61.2,61.9,62.5,61.9,60.8,62.1,63.1,63.1,63.1
174,"COM","Comoros",57.6,56.9,57.3,56.6,56.4,59,58.6,58.6,58.2,57.7,58.1,57.1,60.1,59.6,59,58.3,59,58.8,58.5,59.2,58.6,58.2,57.3,57.3,57.1,55.3,54.8,55.2,55.2,55.2
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",63.4,63.7,64.2,64.9,65.9,67.2,67.6,67.3,67.4,67.9,69,70.1,69.6,70.1,70.4,71.4,72,73,72.8,73.3,74.1,73.9,74.2,74.3,74.9,75.6,76.1,76.3,76.3,76.3
384,"CIV","Cote d'Ivoire",60.2,59.9,61.6,62.9,63.5,62.4,60.4,58.9,60.1,59.1,57.2,58.6,58.8,60,62.2,62.5,60.1,59.5,60,62.2,63.5,61.9,63.9,65.9,66.8,66.5,67.1,68,68,68
191,"HRV","Croatia",58.2,59,59,59.9,58.7,59.5,59.3,59.5,59.7,60.3,61.1,61.5,61.3,62.5,62.8,63,63.2,64.4,64.9,65.5,65.6,66.2,66.3,67.8,68.4,67.5,69.6,70.7,70.7,70.7
192,"CUB","Cuba",40.2,41.3,41.1,41.7,43.3,44,45.1,45.4,46.2,48,50.5,52.4,54.3,54.1,54.1,52.3,54.9,55.4,56.7,57.1,57.5,58.1,60.2,61.6,61.8,60.5,60.9,61.4,61.4,61.4
531,"CUW","Curacao",25.8,25.8,25.8,25.8,25.8,25.8,25.2,26.2,26.3,25.1,25.5,24.8,22.4,24,23.2,32.9,26.8,21.6,23,19.1,17.1,21.4,26.7,29.8,45.3,45.6,47.4,47.4,47.4,47.4
196,"CYP","Cyprus",56.8,55.9,56.2,56.6,56.8,57.4,58.4,58.6,58.1,58.7,59.3,59.8,60.1,60.3,60.4,60.9,61.7,62.3,62.7,61.4,62,62.2,63,64.5,65.5,65.5,66.4,67.2,67.2,67.2
203,"CZE","Czech Republic",43.4,43.9,44.5,45.4,47.4,46.4,47,48.1,48.3,49.2,51.2,52.5,53.4,54.8,55.1,55.1,55.8,56.2,57.1,58,58.9,59.1,60,61,62.5,63.1,62.9,63.1,63.1,63.1
180,"COD","Dem. Rep. Congo",31.9,34.5,33.5,32.8,33.2,31.1,29.6,26.9,26.5,27,28.4,29.1,31.7,32.3,33,33.7,35.6,34.8,35.1,36.4,37.9,38.2,37.9,39.8,40.2,40.1,40.9,42.7,42.7,42.7
208,"DNK","Denmark",57.7,54.8,58,59.6,60.9,62.9,62.6,62.9,61.6,63.8,65.3,64,65.5,66.4,66.2,66.5,68.3,69.8,69.4,71.1,72.3,72.2,73.5,74,75.5,76.2,76.6,77.3,77.3,77.3
262,"DJI","Djibouti",48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,52.2,53.2,54.8,55.6,56.1,57.1,58,58,58.5,58.5,58.5
212,"DMA","Dominica",64,65.6,65.1,66.2,65.8,63.6,62.7,63.5,63,60.8,60.2,62,60.2,62.2,60.4,61.7,63,61.8,62.2,62.5,60.9,61.9,62.1,62.2,62.1,59.6,61.5,62.5,62.5,62.5
214,"DOM","Dominican Republic",53.2,53,54,54.9,56.6,56.8,56.8,56,55.5,58.3,59.8,60.6,60.9,61.2,61.4,62.4,62.5,63.1,64,64.9,65.1,65.6,66.6,66.7,66.5,67.1,69.1,69.9,69.9,69.9
218,"ECU","Ecuador",49.9,48.8,52.3,52,51.6,53.3,51.9,52.3,51.8,52.1,52.8,54.1,52.9,55.7,54.1,53.5,54.5,56,56.2,56,57.1,57.3,57.9,58.6,57.9,58.7,57.3,57.2,57.2,57.2
818,"EGY","Egypt",55,55.9,55.4,55.3,55.8,55.4,57.6,57.6,55.9,56.2,55.2,55.5,56.2,56.8,57.2,58.7,58,58.7,59.5,59.1,60.3,60,59.4,61.3,61.9,64.4,63.6,64.2,64.2,64.2
222,"SLV","El Salvador",61.8,62.1,60.6,61.2,61.6,62.6,61.7,61.4,61.1,61.4,61.5,61.5,61.7,63.1,63.1,63.8,64.8,65.1,67,66.9,66.4,67.3,69,69.1,68,67.6,68.1,68.3,68.3,68.3
226,"GNQ","Equatorial Guinea",0.4,0.5,14.7,14.9,18.5,19,29.2,39,39.6,38.8,43.3,43.2,46,49.2,52.8,48,50.2,50.4,48.6,49.3,47.6,46,45.3,49.3,52.2,49.5,49,52.3,52.3,52.3
232,"ERI","Eritrea",25.7,25.2,25.1,26.6,26,21.7,25.1,26.1,24.1,24,24.2,25.4,24.3,19.1,21.6,24.7,29.2,29.4,26.4,33.1,27,28.5,25.7,28.4,29.2,29.2,29.2,29.2,29.2,29.2
233,"EST","Estonia",27.5,27.8,31.5,34.5,35.6,38.5,39.4,41.6,41.1,42.5,45.1,48.1,45.9,46.7,47,42.2,44,45.4,43.8,45.2,48.7,48.3,48.1,50,57.1,61.4,61.4,61.6,61.6,61.6
748,"SWZ","Eswatini",44.3,47.2,45.1,46,45.6,47,48.7,48.9,50,50.6,51.8,53.8,53.9,54.7,55.6,57.8,59.2,58.9,57.6,62.4,62.3,61.3,62.3,62.3,62.7,63.1,64.2,64,64,64
231,"ETH","Ethiopia",15.2,17,17,14.1,15.5,17.9,18.7,16.3,16.1,18.8,20.7,22,22.5,24.2,25.5,27.5,30.2,31.2,32.9,34.2,36.1,37.4,39,40.3,40.6,40.8,42.7,43.3,43.3,43.3
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",60.1,60.5,60.3,61,62.8,62,60,62.2,61.3,59.5,61.7,61.1,61.4,63.9,64.8,62.4,63.6,64.1,63.8,67.9,67.9,68.8,68.4,68.6,67.7,67.4,66.6,69.2,69.2,69.2
246,"FIN","Finland",48,47.5,49.3,51.7,52.3,54.1,53.1,53,51.4,52.6,56.6,54.2,56.7,58.9,58,56.4,59,59.7,59.6,60.8,62.3,62.8,64.2,64.2,65.5,66.7,67.7,69,69,69
250,"FRA","France",63.6,63.2,64,64.6,65.7,66.7,66.9,67.4,67.3,67.9,68.2,69,69.8,70.1,70.3,70.4,71.7,71.7,71.7,73.1,73.1,73.2,73.5,74.6,75.2,75.3,75.5,76.4,76.4,76.4
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",30.7,28.9,32.2,29.1,28.2,27.2,26.9,27.6,25.6,27.5,29.6,32.6,37.6,34.9,35.7,36.6,38.4,40.1,41.5,42.1,42.1,42.6,44.4,46.5,45.4,44.9,46.4,47.7,47.7,47.7
270,"GMB","Gambia",47.5,46.9,48.8,48.5,49.7,49.7,52.2,51.5,51.5,51.4,50.2,48.8,49.5,49.1,46.7,46.4,47.9,48.2,48,46.2,45,46.7,47.9,49.5,49.4,49.3,49.8,50.7,50.7,50.7
268,"GEO","Georgia",51.4,48,49.1,49,50.8,50.5,54.3,55.6,56.5,56.3,56.5,56.5,58.5,61.4,58.9,61,59.4,59.4,60.4,59.8,59.8,60,60.9,62.2,62.2,61,62.5,64.4,64.4,64.4
276,"DEU","Germany",57.5,57.3,58.3,59.3,60.4,60.9,61.1,61.5,61.4,62,62.6,63.2,64.4,64.6,64.9,64.8,66.1,66.1,65.7,66.9,67.2,67.6,68.4,69.3,70.6,71.4,71.2,71.9,71.9,71.9
288,"GHA","Ghana",55.3,54.9,54.7,54.5,56.3,55.9,57.9,58.3,58.3,59.9,59.6,58.7,59.5,60.4,63.1,62.6,62.2,62.7,63,63,62.2,63.3,64.2,63.8,63.6,61.7,62.5,62.9,62.9,62.9
300,"GRC","Greece",54.2,54.4,54.4,54.3,55.1,55,55.6,56.4,56.9,57.8,57.1,58.5,58.7,59.2,59.5,59.5,57.7,56.7,58.1,58.9,59.8,60.6,60,61.3,63.2,64.1,65.3,65.9,65.9,65.9
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",65.7,66.1,65.7,67.2,67,68.2,67.3,66.9,67.6,68.2,69.5,67.4,67.8,66.6,65,64,64.4,62.6,60.7,65.7,65.1,65.2,65.3,64.5,63.4,61.7,60.7,61.1,61.1,61.1
320,"GTM","Guatemala",60.9,62,61.5,61.1,61,60.7,60.5,60.2,60.8,60.5,59.9,60.9,61.6,63.1,62.1,62.5,62.9,63.1,62.7,62.7,61.9,61.5,61.7,61.5,61.7,62.1,62.4,63.2,63.2,63.2
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",31.4,33,34.4,33.3,33.8,33.1,32.7,31.8,31.6,32,30.4,30.3,31.4,31.6,30.6,28.8,28.8,29,29.9,30.4,30.8,30.8,32.8,34.4,34.4,34.5,35.2,35.6,35.6,35.6
624,"GNB","Guinea-Bissau",35.6,38.8,40.8,32.8,30.9,32.5,29.9,28.9,28.3,29.4,30.7,29.4,30.1,31.8,31.2,31.4,33.4,31.3,32.4,32.6,32.9,34.5,35.5,35.2,36.1,35.4,36.5,37,37,37
328,"GUY","Guyana",40.4,41.7,41.8,41.9,41.7,43.8,44,45,42.6,43,45.6,47.9,47.3,47.3,46.9,47.4,48,48.7,48.8,48.1,47.5,48.5,48.9,49,48.6,55,58.6,67.9,67.9,67.9
332,"HTI","Haiti",54.9,55.1,54.1,54.6,54.9,53.4,53.2,52.6,53.3,52.8,52.9,52.9,53.5,53.7,54.4,52.3,52.8,52.5,52.6,53.1,53.3,52.8,53,53,52.7,53,52.7,52.2,52.2,52.2
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",49.6,50.1,50.5,49.8,50.8,50.9,50.2,50.2,48.2,49.1,50.1,50.4,50.8,51.2,50.8,51.5,50.8,51.3,51.5,51.8,51.6,52.8,53.4,54.1,53.4,52.3,53.9,54.4,54.4,54.4
344,"HKG","Hong Kong",72.1,74,74,69,67.9,70.2,71.4,71,70.1,72.2,72.7,74.4,74.9,75.5,75.5,77,76.7,77.1,77.1,77.1,78.4,78.4,79.2,79.6,79.5,81.3,82.3,82.6,82.6,82.6
348,"HUN","Hungary",51.5,50.8,52,53.1,53.6,55.5,55.9,56.3,56.9,58.2,59.4,60.6,60.9,61.6,62.2,62.4,63.3,64.1,65.4,66.2,66,66.2,66.3,67.3,68.3,67.9,68.8,70.9,70.9,70.9
352,"ISL","Iceland",55.7,56.1,56.7,57.6,57.2,57.8,59.2,58.5,59,60,61.8,61.9,61.5,60.6,59.7,59.3,60.3,60.7,61.7,62.3,62.4,63.9,64.3,65.1,66,65.3,65.4,66.5,66.5,66.5
356,"IND","India",38.1,38.8,39.1,40.2,41.1,41.7,42.6,43.2,44.3,45.2,46.1,46.5,47,46.6,47.1,48.3,48.7,48.6,49.7,50.1,51.2,52.1,53,53.3,53.9,53.6,53.9,54.4,54.4,54.4
360,"IDN","Indonesia",53.9,53.6,53.4,51.9,50,51.5,50.8,52,51.8,52.5,53.5,54.3,54.1,55.9,55.4,55.2,53.9,54.5,56.5,57.3,57.3,58.3,58.3,58,57.7,58.4,58.9,57.3,57.3,57.3
364,"IRN","Iran",41.8,42.5,43.2,42.4,39.4,40.7,40.5,41.9,42.3,41.6,41.2,40.8,42.5,42.1,41.8,42.5,42.7,41.4,40.7,40.8,40.3,41.5,40.5,39.2,39.5,40.8,41.4,41.9,41.9,41.9
368,"IRQ","Iraq",24.6,28.8,30.1,35.6,38.2,41.1,39.1,37.8,26.1,33.9,34.5,37.8,44.9,40.7,38.8,38.2,38,39,40,39.9,39.8,39.1,37,36.9,37.3,37.7,37.4,37.3,37.3,37.3
372,"IRL","Ireland",47.7,48.8,50.6,51.8,53.4,54.2,54.7,56.6,57.2,58.9,59.7,60.8,62.2,61.4,61.9,62.7,64,63.7,64.1,65.8,69.4,68.9,70.7,72.8,74.2,75.8,77.1,78.6,78.6,78.6
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",55.7,56,55.7,56,57.1,57.3,56.2,57.3,56.6,58.6,60.2,59.5,60.4,59.3,61,60.6,61.4,60.4,63.8,65.3,64.7,65.7,67.1,67.4,68.4,68.4,69.8,70.3,70.3,70.3
380,"ITA","Italy",64.7,65.2,65.4,65.3,65.4,66.1,66.7,66.5,66,66.3,66.5,67.2,67.7,67.9,68.8,68.7,69.4,69.5,70.6,71.4,71.1,71.4,71.9,72.2,72.7,72.6,72.3,72.9,72.9,72.9
388,"JAM","Jamaica",52.6,51.6,50.6,50.8,50.4,49.9,49.7,50.9,50.7,51.3,51.9,50.9,52.8,52.6,57.6,57.9,56.9,57.5,56.3,58.3,57.9,57.7,58.7,58.4,59.3,60.5,61,62.1,62.1,62.1
392,"JPN","Japan",60.1,60.5,60.9,61.3,60.9,61.4,61.8,61.4,61.6,62.1,62.4,63,62.8,63.7,63.7,63.7,62.9,62.6,62.8,63.7,64.6,65.1,65.7,66.5,67.1,67.3,67.3,67.7,67.7,67.7
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",52.8,52.4,52.7,53.1,53.6,53.5,53.9,53.9,53.9,53.8,53.6,55.1,55.8,57.6,58.1,59,58.8,57.2,57.5,56.6,57,57.7,57.4,58,58.3,60,59.2,59.3,59.3,59.3
398,"KAZ","Kazakhstan",19.6,22.1,24.2,24.6,29.6,27.9,31.6,30.3,30.7,31.4,32.1,32.3,34,34.3,34.9,34.2,36.9,37.4,38.2,37.7,38.1,38.4,37.5,37.8,41,42,43.1,42.6,42.6,42.6
404,"KEN","Kenya",50,50.5,51,50.5,49.9,50.9,52,52.1,52.4,52,53.1,54.2,49.2,48.8,49.3,50.9,51.2,52.4,53,53.5,53.6,53,54.7,55.1,54.1,51.6,54.1,54.6,54.6,54.6
296,"KIR","Kiribati",60.2,60.3,60.5,61.7,61.2,59.2,58.7,59,58.1,57.7,56.2,56,56.2,55.6,55.7,52.2,53.5,55.4,56.1,53.8,56.6,56.3,53.5,54.6,54,53.6,54.4,54.8,54.8,54.8
689,"XKX","Kosovo",45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,44.2,44.7,46.3,48.1,48.9,52.3,50.1,50,53.2,53.9,54,52.6,55.9,56.8,56.8,56.8
414,"KWT","Kuwait",38.2,39.4,37.8,40.7,40,40,39.1,39.3,41,42.4,42.2,43.5,45,44.3,42,41,43.2,41.8,45.2,46.9,43.3,41.1,40.9,40.8,39.9,39.3,38.5,38.9,38.9,38.9
417,"KGZ","Kyrgyzstan",36,35.5,38.3,37.9,41.6,42.8,45.7,43.1,43.4,44.1,44.4,45.6,45.1,44.8,46.2,46.4,45.2,41.1,43.3,42.7,43.6,45.2,46.4,44.4,48.1,46.7,46.6,47.8,47.8,47.8
418,"LAO","Laos",39.3,40.5,41.3,43.3,45.2,44.8,45.2,45.8,46.6,47,48.7,49.6,50.2,50.9,50.8,51,53.1,53.1,53.5,54.6,49.9,44.1,43.3,44.3,46,45.5,43.5,44.1,44.1,44.1
